Program Duration,0.37519129333333334,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
QsQh,78.0,78.0,1.0,1.0
QsJh,78.0,78.0,1.0,1.0
QsTh,78.0,78.0,1.0,1.0
Qs9h,78.0,78.0,1.0,1.0
Qs8h,78.0,7.0,1.0,0.08974358974358974
Qs7h,78.0,4.0,1.0,0.05128205128205128
Qs6h,78.0,3.0,1.0,0.038461538461538464
Qs5h,4.0,2.0,0.05128205128205128,0.02564102564102564
Qs4h,3.0,2.0,0.038461538461538464,0.02564102564102564
Qs3h,2.0,1.0,0.02564102564102564,0.01282051282051282
Qs2h,1.0,1.0,0.01282051282051282,0.01282051282051282
JsTs,78.0,78.0,1.0,1.0
Js9s,78.0,78.0,1.0,1.0
Js8s,78.0,27.0,1.0,0.34615384615384615
Js7s,78.0,4.0,1.0,0.05128205128205128
Js6s,78.0,2.0,1.0,0.02564102564102564
Js5s,77.0,2.0,0.9871794871794872,0.02564102564102564
Js4s,68.0,2.0,0.8717948717948718,0.02564102564102564
Js3s,58.0,1.0,0.7435897435897436,0.01282051282051282
Js2s,1.0,1.0,0.01282051282051282,0.01282051282051282
JsAc,78.0,78.0,1.0,1.0
JsKc,78.0,78.0,1.0,1.0
JsQc,78.0,78.0,1.0,1.0
JsJc,78.0,78.0,1.0,1.0
JsTc,78.0,78.0,1.0,1.0
Js9c,78.0,5.0,1.0,0.0641025641025641
Js8c,78.0,3.0,1.0,0.038461538461538464
Js7c,3.0,2.0,0.038461538461538464,0.02564102564102564
Js6c,2.0,1.0,0.02564102564102564,0.01282051282051282
Js5c,1.0,1.0,0.01282051282051282,0.01282051282051282
Js4c,1.0,1.0,0.01282051282051282,0.01282051282051282
Js3c,1.0,1.0,0.01282051282051282,0.01282051282051282
Js2c,1.0,1.0,0.01282051282051282,0.01282051282051282
JsAd,78.0,78.0,1.0,1.0
JsKd,78.0,78.0,1.0,1.0
JsQd,78.0,78.0,1.0,1.0
JsJd,78.0,78.0,1.0,1.0
JsTd,78.0,78.0,1.0,1.0
Js9d,78.0,5.0,1.0,0.0641025641025641
Js8d,78.0,3.0,1.0,0.038461538461538464
Js7d,3.0,2.0,0.038461538461538464,0.02564102564102564
Js6d,2.0,1.0,0.02564102564102564,0.01282051282051282
Js5d,1.0,1.0,0.01282051282051282,0.01282051282051282
Js4d,1.0,1.0,0.01282051282051282,0.01282051282051282
Js3d,1.0,1.0,0.01282051282051282,0.01282051282051282
Js2d,1.0,1.0,0.01282051282051282,0.01282051282051282
JsAh,78.0,78.0,1.0,1.0
JsKh,78.0,78.0,1.0,1.0
JsQh,78.0,78.0,1.0,1.0
JsJh,78.0,78.0,1.0,1.0
JsTh,78.0,78.0,1.0,1.0
Js9h,78.0,5.0,1.0,0.0641025641025641
Js8h,78.0,3.0,1.0,0.038461538461538464
Js7h,3.0,2.0,0.038461538461538464,0.02564102564102564
Js6h,2.0,1.0,0.02564102564102564,0.01282051282051282
Js5h,1.0,1.0,0.01282051282051282,0.01282051282051282
Js4h,1.0,1.0,0.01282051282051282,0.01282051282051282
Js3h,1.0,1.0,0.01282051282051282,0.01282051282051282
Js2h,1.0,1.0,0.01282051282051282,0.01282051282051282
Ts9s,78.0,78.0,1.0,1.0
Ts8s,78.0,5.0,1.0,0.0641025641025641
Ts7s,78.0,3.0,1.0,0.038461538461538464
Ts6s,74.0,2.0,0.9487179487179487,0.02564102564102564
Ts5s,58.0,1.0,0.7435897435897436,0.01282051282051282
Ts4s,50.0,1.0,0.6410256410256411,0.01282051282051282
Ts3s,1.0,1.0,0.01282051282051282,0.01282051282051282
Ts2s,1.0,1.0,0.01282051282051282,0.01282051282051282
TsAc,78.0,78.0,1.0,1.0
TsKc,78.0,78.0,1.0,1.0
TsQc,78.0,78.0,1.0,1.0
TsJc,78.0,78.0,1.0,1.0
TsTc,78.0,78.0,1.0,1.0
Ts9c,78.0,3.0,1.0,0.038461538461538464
Ts8c,73.0,2.0,0.9358974358974359,0.02564102564102564
Ts7c,43.0,1.0,0.5512820512820513,0.01282051282051282
Ts6c,1.0,1.0,0.01282051282051282,0.01282051282051282
Ts5c,1.0,1.0,0.01282051282051282,0.01282051282051282
Ts4c,1.0,1.0,0.01282051282051282,0.01282051282051282
Ts3c,1.0,1.0,0.01282051282051282,0.01282051282051282
Ts2c,1.0,1.0,0.01282051282051282,0.01282051282051282
TsAd,78.0,78.0,1.0,1.0
TsKd,78.0,78.0,1.0,1.0
TsQd,78.0,78.0,1.0,1.0
TsJd,78.0,78.0,1.0,1.0
