Program Duration,17.525302038333333,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,3679.0,3679.0,1.0,1.0
AsQs,3679.0,3679.0,1.0,1.0
AsJs,3679.0,3679.0,1.0,1.0
AsTs,3679.0,3679.0,1.0,1.0
As9s,3679.0,3679.0,1.0,1.0
As8s,3679.0,3679.0,1.0,1.0
As7s,3679.0,3679.0,1.0,1.0
As6s,3679.0,3679.0,1.0,1.0
As5s,3679.0,3679.0,1.0,1.0
As4s,3679.0,3679.0,1.0,1.0
As3s,3679.0,3679.0,1.0,1.0
As2s,3679.0,3679.0,1.0,1.0
AsAc,3679.0,3679.0,1.0,1.0
AsKc,3679.0,3679.0,1.0,1.0
AsQc,3679.0,3679.0,1.0,1.0
AsJc,3679.0,3679.0,1.0,1.0
AsTc,3679.0,3679.0,1.0,1.0
As9c,3679.0,3679.0,1.0,1.0
As8c,3679.0,3679.0,1.0,1.0
As7c,3679.0,3679.0,1.0,1.0
As6c,3679.0,3679.0,1.0,1.0
As5c,3679.0,3679.0,1.0,1.0
As4c,3679.0,3679.0,1.0,1.0
As3c,3679.0,3679.0,1.0,1.0
As2c,3679.0,3679.0,1.0,1.0
AsAd,3679.0,3679.0,1.0,1.0
AsKd,3679.0,3679.0,1.0,1.0
AsQd,3679.0,3679.0,1.0,1.0
AsJd,3679.0,3679.0,1.0,1.0
AsTd,3679.0,3679.0,1.0,1.0
As9d,3679.0,3679.0,1.0,1.0
As8d,3679.0,3679.0,1.0,1.0
As7d,3679.0,3679.0,1.0,1.0
As6d,3679.0,3679.0,1.0,1.0
As5d,3679.0,3679.0,1.0,1.0
As4d,3679.0,3679.0,1.0,1.0
As3d,3679.0,3679.0,1.0,1.0
As2d,3679.0,3679.0,1.0,1.0
AsAh,3679.0,3679.0,1.0,1.0
AsKh,3679.0,3679.0,1.0,1.0
AsQh,3679.0,3679.0,1.0,1.0
AsJh,3679.0,3679.0,1.0,1.0
AsTh,3679.0,3679.0,1.0,1.0
As9h,3679.0,3679.0,1.0,1.0
As8h,3679.0,3679.0,1.0,1.0
As7h,3679.0,3679.0,1.0,1.0
As6h,3679.0,3679.0,1.0,1.0
As5h,3679.0,3679.0,1.0,1.0
As4h,3679.0,3679.0,1.0,1.0
As3h,3679.0,3679.0,1.0,1.0
As2h,3679.0,3679.0,1.0,1.0
KsQs,3679.0,3679.0,1.0,1.0
KsJs,3679.0,3679.0,1.0,1.0
KsTs,3679.0,3679.0,1.0,1.0
Ks9s,3679.0,3679.0,1.0,1.0
Ks8s,3679.0,3679.0,1.0,1.0
Ks7s,3679.0,3679.0,1.0,1.0
Ks6s,3679.0,3679.0,1.0,1.0
Ks5s,3679.0,3679.0,1.0,1.0
Ks4s,3679.0,3679.0,1.0,1.0
Ks3s,3679.0,3679.0,1.0,1.0
Ks2s,3679.0,3679.0,1.0,1.0
KsAc,3679.0,3679.0,1.0,1.0
KsKc,3679.0,3679.0,1.0,1.0
KsQc,3679.0,3679.0,1.0,1.0
KsJc,3679.0,3679.0,1.0,1.0
KsTc,3679.0,3679.0,1.0,1.0
Ks9c,3679.0,3679.0,1.0,1.0
Ks8c,3679.0,3679.0,1.0,1.0
Ks7c,3679.0,3679.0,1.0,1.0
Ks6c,3679.0,3679.0,1.0,1.0
Ks5c,3679.0,3679.0,1.0,1.0
Ks4c,3679.0,9.0,1.0,0.002446316933949443
Ks3c,3679.0,6.0,1.0,0.0016308779559662953
Ks2c,3679.0,5.0,1.0,0.001359064963305246
KsAd,3679.0,3679.0,1.0,1.0
KsKd,3679.0,3679.0,1.0,1.0
KsQd,3679.0,3679.0,1.0,1.0
KsJd,3679.0,3679.0,1.0,1.0
KsTd,3679.0,3679.0,1.0,1.0
Ks9d,3679.0,3679.0,1.0,1.0
Ks8d,3679.0,3679.0,1.0,1.0
Ks7d,3679.0,3679.0,1.0,1.0
Ks6d,3679.0,3679.0,1.0,1.0
Ks5d,3679.0,3679.0,1.0,1.0
Ks4d,3679.0,9.0,1.0,0.002446316933949443
Ks3d,3679.0,6.0,1.0,0.0016308779559662953
Ks2d,3679.0,5.0,1.0,0.001359064963305246
KsAh,3679.0,3679.0,1.0,1.0
KsKh,3679.0,3679.0,1.0,1.0
KsQh,3679.0,3679.0,1.0,1.0
KsJh,3679.0,3679.0,1.0,1.0
KsTh,3679.0,3679.0,1.0,1.0
Ks9h,3679.0,3679.0,1.0,1.0
Ks8h,3679.0,3679.0,1.0,1.0
Ks7h,3679.0,3679.0,1.0,1.0
Ks6h,3679.0,3679.0,1.0,1.0
Ks5h,3679.0,3679.0,1.0,1.0
