Program Duration,1.7789262883333334,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,384.0,384.0,1.0,1.0
AsQs,384.0,384.0,1.0,1.0
AsJs,384.0,384.0,1.0,1.0
AsTs,384.0,384.0,1.0,1.0
As9s,384.0,384.0,1.0,1.0
As8s,384.0,384.0,1.0,1.0
As7s,384.0,384.0,1.0,1.0
As6s,384.0,384.0,1.0,1.0
As5s,384.0,384.0,1.0,1.0
As4s,384.0,384.0,1.0,1.0
As3s,384.0,384.0,1.0,1.0
As2s,384.0,384.0,1.0,1.0
AsAc,384.0,384.0,1.0,1.0
AsKc,384.0,384.0,1.0,1.0
AsQc,384.0,384.0,1.0,1.0
AsJc,384.0,384.0,1.0,1.0
AsTc,384.0,384.0,1.0,1.0
As9c,384.0,384.0,1.0,1.0
As8c,384.0,384.0,1.0,1.0
As7c,384.0,384.0,1.0,1.0
As6c,384.0,384.0,1.0,1.0
As5c,384.0,384.0,1.0,1.0
As4c,384.0,384.0,1.0,1.0
As3c,384.0,384.0,1.0,1.0
As2c,384.0,384.0,1.0,1.0
AsAd,384.0,384.0,1.0,1.0
AsKd,384.0,384.0,1.0,1.0
AsQd,384.0,384.0,1.0,1.0
AsJd,384.0,384.0,1.0,1.0
AsTd,384.0,384.0,1.0,1.0
As9d,384.0,384.0,1.0,1.0
As8d,384.0,384.0,1.0,1.0
As7d,384.0,384.0,1.0,1.0
As6d,384.0,384.0,1.0,1.0
As5d,384.0,384.0,1.0,1.0
As4d,384.0,384.0,1.0,1.0
As3d,384.0,384.0,1.0,1.0
As2d,384.0,384.0,1.0,1.0
AsAh,384.0,384.0,1.0,1.0
AsKh,384.0,384.0,1.0,1.0
AsQh,384.0,384.0,1.0,1.0
AsJh,384.0,384.0,1.0,1.0
AsTh,384.0,384.0,1.0,1.0
As9h,384.0,384.0,1.0,1.0
As8h,384.0,384.0,1.0,1.0
As7h,384.0,384.0,1.0,1.0
As6h,384.0,384.0,1.0,1.0
As5h,384.0,384.0,1.0,1.0
As4h,384.0,384.0,1.0,1.0
As3h,384.0,384.0,1.0,1.0
As2h,384.0,384.0,1.0,1.0
KsQs,384.0,384.0,1.0,1.0
KsJs,384.0,384.0,1.0,1.0
KsTs,384.0,384.0,1.0,1.0
Ks9s,384.0,384.0,1.0,1.0
Ks8s,384.0,384.0,1.0,1.0
Ks7s,384.0,384.0,1.0,1.0
Ks6s,384.0,384.0,1.0,1.0
Ks5s,384.0,384.0,1.0,1.0
Ks4s,384.0,384.0,1.0,1.0
Ks3s,384.0,384.0,1.0,1.0
Ks2s,384.0,384.0,1.0,1.0
KsAc,384.0,384.0,1.0,1.0
KsKc,384.0,384.0,1.0,1.0
KsQc,384.0,384.0,1.0,1.0
KsJc,384.0,384.0,1.0,1.0
KsTc,384.0,384.0,1.0,1.0
Ks9c,384.0,384.0,1.0,1.0
Ks8c,384.0,384.0,1.0,1.0
Ks7c,384.0,384.0,1.0,1.0
Ks6c,384.0,384.0,1.0,1.0
Ks5c,384.0,352.0,1.0,0.9166666666666666
Ks4c,384.0,7.0,1.0,0.018229166666666668
Ks3c,384.0,5.0,1.0,0.013020833333333334
Ks2c,384.0,4.0,1.0,0.010416666666666666
KsAd,384.0,384.0,1.0,1.0
KsKd,384.0,384.0,1.0,1.0
KsQd,384.0,384.0,1.0,1.0
KsJd,384.0,384.0,1.0,1.0
KsTd,384.0,384.0,1.0,1.0
Ks9d,384.0,384.0,1.0,1.0
Ks8d,384.0,384.0,1.0,1.0
Ks7d,384.0,384.0,1.0,1.0
Ks6d,384.0,384.0,1.0,1.0
Ks5d,384.0,352.0,1.0,0.9166666666666666
Ks4d,384.0,7.0,1.0,0.018229166666666668
Ks3d,384.0,5.0,1.0,0.013020833333333334
Ks2d,384.0,4.0,1.0,0.010416666666666666
KsAh,384.0,384.0,1.0,1.0
KsKh,384.0,384.0,1.0,1.0
KsQh,384.0,384.0,1.0,1.0
KsJh,384.0,384.0,1.0,1.0
KsTh,384.0,384.0,1.0,1.0
Ks9h,384.0,384.0,1.0,1.0
Ks8h,384.0,384.0,1.0,1.0
Ks7h,384.0,384.0,1.0,1.0
Ks6h,384.0,384.0,1.0,1.0
Ks5h,384.0,352.0,1.0,0.9166666666666666
Ks4h,384.0,7.0,1.0,0.018229166666666668
Ks3h,384.0,5.0,1.0,0.013020833333333334
Ks2h,384.0,4.0,1.0,0.010416666666666666
QsJs,384.0,384.0,1.0,1.0
QsTs,384.0,384.0,1.0,1.0
Qs9s,384.0,384.0,1.0,1.0
Qs8s,384.0,384.0,1.0,1.0
Qs7s,384.0,351.0,1.0,0.9140625
Qs6s,384.0,7.0,1.0,0.018229166666666668
Qs5s,384.0,5.0,1.0,0.013020833333333334
Qs4s,384.0,4.0,1.0,0.010416666666666666
Qs3s,384.0,3.0,1.0,0.0078125
Qs2s,384.0,3.0,1.0,0.0078125
QsAc,384.0,384.0,1.0,1.0
QsKc,384.0,384.0,1.0,1.0
QsQc,384.0,384.0,1.0,1.0
QsJc,384.0,384.0,1.0,1.0
QsTc,384.0,384.0,1.0,1.0
Qs9c,384.0,384.0,1.0,1.0
Qs8c,384.0,28.0,1.0,0.07291666666666667
Qs7c,384.0,4.0,1.0,0.010416666666666666
Qs6c,147.0,3.0,0.3828125,0.0078125
Qs5c,4.0,2.0,0.010416666666666666,0.005208333333333333
Qs4c,3.0,2.0,0.0078125,0.005208333333333333
Qs3c,2.0,1.0,0.005208333333333333,0.0026041666666666665
Qs2c,1.0,1.0,0.0026041666666666665,0.0026041666666666665
QsAd,384.0,384.0,1.0,1.0
QsKd,384.0,384.0,1.0,1.0
QsQd,384.0,384.0,1.0,1.0
QsJd,384.0,384.0,1.0,1.0
QsTd,384.0,384.0,1.0,1.0
Qs9d,384.0,384.0,1.0,1.0
Qs8d,384.0,28.0,1.0,0.07291666666666667
Qs7d,384.0,4.0,1.0,0.010416666666666666
Qs6d,147.0,3.0,0.3828125,0.0078125
Qs5d,4.0,2.0,0.010416666666666666,0.005208333333333333
Qs4d,3.0,2.0,0.0078125,0.005208333333333333
Qs3d,2.0,1.0,0.005208333333333333,0.0026041666666666665
Qs2d,1.0,1.0,0.0026041666666666665,0.0026041666666666665
QsAh,384.0,384.0,1.0,1.0
QsKh,384.0,384.0,1.0,1.0
QsQh,384.0,384.0,1.0,1.0
QsJh,384.0,384.0,1.0,1.0
QsTh,384.0,384.0,1.0,1.0
Qs9h,384.0,384.0,1.0,1.0
Qs8h,384.0,28.0,1.0,0.07291666666666667
Qs7h,384.0,4.0,1.0,0.010416666666666666
Qs6h,147.0,3.0,0.3828125,0.0078125
Qs5h,4.0,2.0,0.010416666666666666,0.005208333333333333
Qs4h,3.0,2.0,0.0078125,0.005208333333333333
Qs3h,2.0,1.0,0.005208333333333333,0.0026041666666666665
Qs2h,1.0,1.0,0.0026041666666666665,0.0026041666666666665
JsTs,384.0,384.0,1.0,1.0
Js9s,384.0,384.0,1.0,1.0
Js8s,384.0,333.0,1.0,0.8671875
Js7s,384.0,4.0,1.0,0.010416666666666666
Js6s,384.0,2.0,1.0,0.005208333333333333
Js5s,383.0,2.0,0.9973958333333334,0.005208333333333333
Js4s,374.0,2.0,0.9739583333333334,0.005208333333333333
Js3s,364.0,1.0,0.9479166666666666,0.0026041666666666665
Js2s,1.0,1.0,0.0026041666666666665,0.0026041666666666665
JsAc,384.0,384.0,1.0,1.0
JsKc,384.0,384.0,1.0,1.0
JsQc,384.0,384.0,1.0,1.0
JsJc,384.0,384.0,1.0,1.0
JsTc,384.0,384.0,1.0,1.0
Js9c,384.0,5.0,1.0,0.013020833333333334
Js8c,384.0,3.0,1.0,0.0078125
Js7c,3.0,2.0,0.0078125,0.005208333333333333
Js6c,2.0,1.0,0.005208333333333333,0.0026041666666666665
Js5c,1.0,1.0,0.0026041666666666665,0.0026041666666666665
Js4c,1.0,1.0,0.0026041666666666665,0.0026041666666666665
Js3c,1.0,1.0,0.0026041666666666665,0.0026041666666666665
Js2c,1.0,1.0,0.0026041666666666665,0.0026041666666666665
JsAd,384.0,384.0,1.0,1.0
JsKd,384.0,384.0,1.0,1.0
JsQd,384.0,384.0,1.0,1.0
JsJd,384.0,384.0,1.0,1.0
JsTd,384.0,384.0,1.0,1.0
Js9d,384.0,5.0,1.0,0.013020833333333334
Js8d,384.0,3.0,1.0,0.0078125
Js7d,3.0,2.0,0.0078125,0.005208333333333333
Js6d,2.0,1.0,0.005208333333333333,0.0026041666666666665
Js5d,1.0,1.0,0.0026041666666666665,0.0026041666666666665
Js4d,1.0,1.0,0.0026041666666666665,0.0026041666666666665
Js3d,1.0,1.0,0.0026041666666666665,0.0026041666666666665
Js2d,1.0,1.0,0.0026041666666666665,0.0026041666666666665
JsAh,384.0,384.0,1.0,1.0
JsKh,384.0,384.0,1.0,1.0
JsQh,384.0,384.0,1.0,1.0
