Program Duration,234.9976565,mins,,,
,,,,,
Hand,P1 - F,P2 - F,P1 - S,P2 - S,
Js4s,45020,2,0.999844538,4.44E-05,
Js3s,45012,1,0.999666867,2.22E-05,
Js2s,47,1,0.001043818,2.22E-05,
JsAc,45027,45027,1,1,
JsKc,45027,45027,1,1,
JsQc,45027,45027,1,1,
JsJc,45027,45027,1,1,
JsTc,45027,45027,1,1,
Js9c,45027,27053,1,0.600817287,x
Js8c,45027,3,1,6.66E-05,
Js7c,26,2,5.77E-04,4.44E-05,
Js6c,2,1,4.44E-05,2.22E-05,
Js5c,1,1,2.22E-05,2.22E-05,
Js4c,1,1,2.22E-05,2.22E-05,
Js3c,1,1,2.22E-05,2.22E-05,
Js2c,1,1,2.22E-05,2.22E-05,
JsAd,45027,45027,1,1,
JsKd,45027,45027,1,1,
JsQd,45027,45027,1,1,
JsJd,45027,45027,1,1,
JsTd,45027,45027,1,1,
Js9d,45027,27053,1,0.600817287,x
Js8d,45027,3,1,6.66E-05,
Js7d,26,2,5.77E-04,4.44E-05,
Js6d,2,1,4.44E-05,2.22E-05,
Js5d,1,1,2.22E-05,2.22E-05,
Js4d,1,1,2.22E-05,2.22E-05,
Js3d,1,1,2.22E-05,2.22E-05,
Js2d,1,1,2.22E-05,2.22E-05,
JsAh,45027,45027,1,1,
JsKh,45027,45027,1,1,
JsQh,45027,45027,1,1,
JsJh,45027,45027,1,1,
JsTh,45027,45027,1,1,
Js9h,45027,27053,1,0.600817287,x
Js8h,45027,3,1,6.66E-05,
Js7h,26,2,5.77E-04,4.44E-05,
Js6h,2,1,4.44E-05,2.22E-05,
Js5h,1,1,2.22E-05,2.22E-05,
Js4h,1,1,2.22E-05,2.22E-05,
Js3h,1,1,2.22E-05,2.22E-05,
Js2h,1,1,2.22E-05,2.22E-05,
Ts9s,45027,45027,1,1,
Ts8s,45027,5,1,1.11E-04,
Ts7s,45027,3,1,6.66E-05,
Ts6s,45024,2,0.999933373,4.44E-05,
Ts5s,45011,1,0.999644658,2.22E-05,
Ts4s,45006,1,0.999533613,2.22E-05,
Ts3s,1,1,2.22E-05,2.22E-05,
Ts2s,1,1,2.22E-05,2.22E-05,
TsAc,45027,45027,1,1,
TsKc,45027,45027,1,1,
TsQc,45027,45027,1,1,
TsJc,45027,45027,1,1,
TsTc,45027,45027,1,1,
Ts9c,45027,4,1,8.88E-05,
Ts8c,45026,2,0.999977791,4.44E-05,
Ts7c,115,1,0.002554023,2.22E-05,
Ts6c,1,1,2.22E-05,2.22E-05,
Ts5c,1,1,2.22E-05,2.22E-05,
Ts4c,1,1,2.22E-05,2.22E-05,
Ts3c,1,1,2.22E-05,2.22E-05,
Ts2c,1,1,2.22E-05,2.22E-05,
TsAd,45027,45027,1,1,
TsKd,45027,45027,1,1,
TsQd,45027,45027,1,1,
TsJd,45027,45027,1,1,
TsTd,45027,45027,1,1,
Ts9d,45027,4,1,8.88E-05,
Ts8d,45026,2,0.999977791,4.44E-05,
Ts7d,115,1,0.002554023,2.22E-05,
Ts6d,1,1,2.22E-05,2.22E-05,
Ts5d,1,1,2.22E-05,2.22E-05,
Ts4d,1,1,2.22E-05,2.22E-05,
Ts3d,1,1,2.22E-05,2.22E-05,
Ts2d,1,1,2.22E-05,2.22E-05,
TsAh,45027,45027,1,1,
TsKh,45027,45027,1,1,
TsQh,45027,45027,1,1,
TsJh,45027,45027,1,1,
TsTh,45027,45027,1,1,
Ts9h,45027,4,1,8.88E-05,
Ts8h,45026,2,0.999977791,4.44E-05,
Ts7h,115,1,0.002554023,2.22E-05,
Ts6h,1,1,2.22E-05,2.22E-05,
Ts5h,1,1,2.22E-05,2.22E-05,
Ts4h,1,1,2.22E-05,2.22E-05,
Ts3h,1,1,2.22E-05,2.22E-05,
Ts2h,1,1,2.22E-05,2.22E-05,
9s8s,45027,4,1,8.88E-05,
9s7s,45027,2,1,4.44E-05,
9s6s,45022,1,0.999888956,2.22E-05,
9s5s,45012,1,0.999666867,2.22E-05,
9s4s,1,1,2.22E-05,2.22E-05,
9s3s,1,1,2.22E-05,2.22E-05,
9s2s,1,1,2.22E-05,2.22E-05,
9sAc,45027,45027,1,1,
9sKc,45027,45027,1,1,
9sQc,45027,45027,1,1,
9sJc,45027,27053,1,0.600817287,x
9sTc,45027,4,1,8.88E-05,
9s9c,45027,45027,1,1,
9s8c,45020,1,0.999844538,2.22E-05,
9s7c,45007,1,0.999555822,2.22E-05,
9s6c,1,1,2.22E-05,2.22E-05,
9s5c,1,1,2.22E-05,2.22E-05,
9s4c,1,1,2.22E-05,2.22E-05,
9s3c,1,1,2.22E-05,2.22E-05,
9s2c,1,1,2.22E-05,2.22E-05,
9sAd,45027,45027,1,1,
9sKd,45027,45027,1,1,
9sQd,45027,45027,1,1,
9sJd,45027,27053,1,0.600817287,x
9sTd,45027,4,1,8.88E-05,
9s9d,45027,45027,1,1,
9s8d,45020,1,0.999844538,2.22E-05,
9s7d,45007,1,0.999555822,2.22E-05,
9s6d,1,1,2.22E-05,2.22E-05,
9s5d,1,1,2.22E-05,2.22E-05,
9s4d,1,1,2.22E-05,2.22E-05,
9s3d,1,1,2.22E-05,2.22E-05,
9s2d,1,1,2.22E-05,2.22E-05,
9sAh,45027,45027,1,1,
9sKh,45027,45027,1,1,
9sQh,45027,45027,1,1,
9sJh,45027,27053,1,0.600817287,x
9sTh,45027,4,1,8.88E-05,
9s9h,45027,45027,1,1,
9s8h,45020,1,0.999844538,2.22E-05,
9s7h,45007,1,0.999555822,2.22E-05,
9s6h,1,1,2.22E-05,2.22E-05,
9s5h,1,1,2.22E-05,2.22E-05,
9s4h,1,1,2.22E-05,2.22E-05,
9s3h,1,1,2.22E-05,2.22E-05,
9s2h,1,1,2.22E-05,2.22E-05,
8s7s,45027,2,1,4.44E-05,
8s6s,45021,1,0.999866747,2.22E-05,
8s5s,45015,1,0.999733493,2.22E-05,
8s4s,435,1,0.00966087,2.22E-05,
8s3s,1,1,2.22E-05,2.22E-05,
8s2s,1,1,2.22E-05,2.22E-05,
8sAc,45027,45027,1,1,
8sKc,45027,45027,1,1,
8sQc,45027,44990,1,0.999178271,
8sJc,45027,3,1,6.66E-05,
8sTc,45026,2,0.999977791,4.44E-05,
8s9c,45020,1,0.999844538,2.22E-05,
8s8c,45027,45027,1,1,
8s7c,45012,1,0.999666867,2.22E-05,
8s6c,1,1,2.22E-05,2.22E-05,
8s5c,1,1,2.22E-05,2.22E-05,
8s4c,1,1,2.22E-05,2.22E-05,
8s3c,1,1,2.22E-05,2.22E-05,
8s2c,1,1,2.22E-05,2.22E-05,
8sAd,45027,45027,1,1,
8sKd,45027,45027,1,1,
8sQd,45027,44990,1,0.999178271,
