Program Duration,6387.28458666,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,5684.0,5684.0,1.0,1.0
AsQs,5684.0,5684.0,1.0,1.0
AsJs,5684.0,5684.0,1.0,1.0
AsTs,5684.0,5684.0,1.0,1.0
As9s,5684.0,5684.0,1.0,1.0
As8s,5684.0,5684.0,1.0,1.0
As7s,5684.0,5684.0,1.0,1.0
As6s,5684.0,5684.0,1.0,1.0
As5s,5684.0,5684.0,1.0,1.0
As4s,5684.0,5684.0,1.0,1.0
As3s,5684.0,5684.0,1.0,1.0
As2s,5684.0,5684.0,1.0,1.0
AsAc,5684.0,5684.0,1.0,1.0
AsKc,5684.0,5684.0,1.0,1.0
AsQc,5684.0,5684.0,1.0,1.0
AsJc,5684.0,5684.0,1.0,1.0
AsTc,5684.0,5684.0,1.0,1.0
As9c,5684.0,5684.0,1.0,1.0
As8c,5684.0,5684.0,1.0,1.0
As7c,5684.0,5684.0,1.0,1.0
As6c,5684.0,5684.0,1.0,1.0
As5c,5684.0,5684.0,1.0,1.0
As4c,5684.0,5684.0,1.0,1.0
As3c,5684.0,5684.0,1.0,1.0
As2c,5684.0,5684.0,1.0,1.0
AsAd,5684.0,5684.0,1.0,1.0
AsKd,5684.0,5684.0,1.0,1.0
AsQd,5684.0,5684.0,1.0,1.0
AsJd,5684.0,5684.0,1.0,1.0
AsTd,5684.0,5684.0,1.0,1.0
As9d,5684.0,5684.0,1.0,1.0
As8d,5684.0,5684.0,1.0,1.0
As7d,5684.0,5684.0,1.0,1.0
As6d,5684.0,5684.0,1.0,1.0
As5d,5684.0,5684.0,1.0,1.0
As4d,5684.0,5684.0,1.0,1.0
As3d,5684.0,5684.0,1.0,1.0
As2d,5684.0,5684.0,1.0,1.0
AsAh,5684.0,5684.0,1.0,1.0
AsKh,5684.0,5684.0,1.0,1.0
AsQh,5684.0,5684.0,1.0,1.0
AsJh,5684.0,5684.0,1.0,1.0
AsTh,5684.0,5684.0,1.0,1.0
As9h,5684.0,5684.0,1.0,1.0
As8h,5684.0,5684.0,1.0,1.0
As7h,5684.0,5684.0,1.0,1.0
As6h,5684.0,5684.0,1.0,1.0
As5h,5684.0,5684.0,1.0,1.0
As4h,5684.0,5684.0,1.0,1.0
As3h,5684.0,5684.0,1.0,1.0
As2h,5684.0,5684.0,1.0,1.0
KsQs,5684.0,5684.0,1.0,1.0
KsJs,5684.0,5684.0,1.0,1.0
KsTs,5684.0,5684.0,1.0,1.0
Ks9s,5684.0,5684.0,1.0,1.0
Ks8s,5684.0,5684.0,1.0,1.0
Ks7s,5684.0,5684.0,1.0,1.0
Ks6s,5684.0,5684.0,1.0,1.0
Ks5s,5684.0,5684.0,1.0,1.0
Ks4s,5684.0,5684.0,1.0,1.0
Ks3s,5684.0,5684.0,1.0,1.0
Ks2s,5684.0,5684.0,1.0,1.0
KsAc,5684.0,5684.0,1.0,1.0
KsKc,5684.0,5684.0,1.0,1.0
KsQc,5684.0,5684.0,1.0,1.0
KsJc,5684.0,5684.0,1.0,1.0
KsTc,5684.0,5684.0,1.0,1.0
Ks9c,5684.0,5684.0,1.0,1.0
Ks8c,5684.0,5684.0,1.0,1.0
Ks7c,5684.0,5684.0,1.0,1.0
Ks6c,5684.0,5684.0,1.0,1.0
Ks5c,5684.0,5684.0,1.0,1.0
Ks4c,5684.0,5684.0,1.0,1.0
Ks3c,5684.0,5684.0,1.0,1.0
Ks2c,5684.0,5684.0,1.0,1.0
KsAd,5684.0,5684.0,1.0,1.0
KsKd,5684.0,5684.0,1.0,1.0
KsQd,5684.0,5684.0,1.0,1.0
KsJd,5684.0,5684.0,1.0,1.0
KsTd,5684.0,5684.0,1.0,1.0
Ks9d,5684.0,5684.0,1.0,1.0
Ks8d,5684.0,5684.0,1.0,1.0
Ks7d,5684.0,5684.0,1.0,1.0
Ks6d,5684.0,5684.0,1.0,1.0
Ks5d,5684.0,5684.0,1.0,1.0
Ks4d,5684.0,5684.0,1.0,1.0
Ks3d,5684.0,5684.0,1.0,1.0
Ks2d,5684.0,5684.0,1.0,1.0
KsAh,5684.0,5684.0,1.0,1.0
KsKh,5684.0,5684.0,1.0,1.0
KsQh,5684.0,5684.0,1.0,1.0
KsJh,5684.0,5684.0,1.0,1.0
KsTh,5684.0,5684.0,1.0,1.0
Ks9h,5684.0,5684.0,1.0,1.0
Ks8h,5684.0,5684.0,1.0,1.0
Ks7h,5684.0,5684.0,1.0,1.0
Ks6h,5684.0,5684.0,1.0,1.0
Ks5h,5684.0,5684.0,1.0,1.0
Ks4h,5684.0,5684.0,1.0,1.0
Ks3h,5684.0,5684.0,1.0,1.0
Ks2h,5684.0,5684.0,1.0,1.0
QsJs,5684.0,5684.0,1.0,1.0
QsTs,5684.0,5684.0,1.0,1.0
Qs9s,5684.0,5684.0,1.0,1.0
Qs8s,5684.0,5684.0,1.0,1.0
Qs7s,5684.0,5684.0,1.0,1.0
Qs6s,5684.0,5684.0,1.0,1.0
Qs5s,5684.0,5684.0,1.0,1.0
Qs4s,5684.0,5684.0,1.0,1.0
Qs3s,5684.0,5684.0,1.0,1.0
Qs2s,5684.0,5684.0,1.0,1.0
QsAc,5684.0,5684.0,1.0,1.0
QsKc,5684.0,5684.0,1.0,1.0
QsQc,5684.0,5684.0,1.0,1.0
QsJc,5684.0,5684.0,1.0,1.0
QsTc,5684.0,5684.0,1.0,1.0
Qs9c,5684.0,5684.0,1.0,1.0
Qs8c,5684.0,5684.0,1.0,1.0
