Program Duration,6363.554927648333,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,2847.0,2847.0,1.0,1.0
AsQs,2847.0,2847.0,1.0,1.0
AsJs,2847.0,2847.0,1.0,1.0
AsTs,2847.0,2847.0,1.0,1.0
As9s,2847.0,2847.0,1.0,1.0
As8s,2847.0,2847.0,1.0,1.0
As7s,2847.0,2847.0,1.0,1.0
As6s,2847.0,2847.0,1.0,1.0
As5s,2847.0,2847.0,1.0,1.0
As4s,2847.0,2847.0,1.0,1.0
As3s,2847.0,2847.0,1.0,1.0
As2s,2847.0,2847.0,1.0,1.0
AsAc,2847.0,2847.0,1.0,1.0
AsKc,2847.0,2847.0,1.0,1.0
AsQc,2847.0,2847.0,1.0,1.0
AsJc,2847.0,2847.0,1.0,1.0
AsTc,2847.0,2847.0,1.0,1.0
As9c,2847.0,2847.0,1.0,1.0
As8c,2847.0,2847.0,1.0,1.0
As7c,2847.0,2847.0,1.0,1.0
As6c,2847.0,2847.0,1.0,1.0
As5c,2847.0,2847.0,1.0,1.0
As4c,2847.0,2847.0,1.0,1.0
As3c,2847.0,2847.0,1.0,1.0
As2c,2847.0,2847.0,1.0,1.0
AsAd,2847.0,2847.0,1.0,1.0
AsKd,2847.0,2847.0,1.0,1.0
AsQd,2847.0,2847.0,1.0,1.0
AsJd,2847.0,2847.0,1.0,1.0
AsTd,2847.0,2847.0,1.0,1.0
As9d,2847.0,2847.0,1.0,1.0
As8d,2847.0,2847.0,1.0,1.0
As7d,2847.0,2847.0,1.0,1.0
As6d,2847.0,2847.0,1.0,1.0
As5d,2847.0,2847.0,1.0,1.0
As4d,2847.0,2847.0,1.0,1.0
As3d,2847.0,2847.0,1.0,1.0
As2d,2847.0,2847.0,1.0,1.0
AsAh,2847.0,2847.0,1.0,1.0
AsKh,2847.0,2847.0,1.0,1.0
AsQh,2847.0,2847.0,1.0,1.0
AsJh,2847.0,2847.0,1.0,1.0
AsTh,2847.0,2847.0,1.0,1.0
As9h,2847.0,2847.0,1.0,1.0
As8h,2847.0,2847.0,1.0,1.0
As7h,2847.0,2847.0,1.0,1.0
As6h,2847.0,2847.0,1.0,1.0
As5h,2847.0,2847.0,1.0,1.0
As4h,2847.0,2847.0,1.0,1.0
As3h,2847.0,2847.0,1.0,1.0
As2h,2847.0,2847.0,1.0,1.0
KsQs,2847.0,2847.0,1.0,1.0
KsJs,2847.0,2847.0,1.0,1.0
KsTs,2847.0,2847.0,1.0,1.0
Ks9s,2847.0,2847.0,1.0,1.0
Ks8s,2847.0,2847.0,1.0,1.0
Ks7s,2847.0,2847.0,1.0,1.0
Ks6s,2847.0,2847.0,1.0,1.0
Ks5s,2847.0,2847.0,1.0,1.0
Ks4s,2847.0,2847.0,1.0,1.0
Ks3s,2847.0,2847.0,1.0,1.0
