Program Duration,3864.091682195,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,52380.0,52380.0,1.0,1.0
AsQs,52380.0,52380.0,1.0,1.0
AsJs,52380.0,52380.0,1.0,1.0
AsTs,52380.0,52380.0,1.0,1.0
As9s,52380.0,52380.0,1.0,1.0
As8s,52380.0,52380.0,1.0,1.0
As7s,52380.0,52380.0,1.0,1.0
As6s,52380.0,52380.0,1.0,1.0
As5s,52380.0,52380.0,1.0,1.0
As4s,52380.0,52380.0,1.0,1.0
As3s,52380.0,52380.0,1.0,1.0
As2s,52380.0,52380.0,1.0,1.0
AsAc,52380.0,52380.0,1.0,1.0
AsKc,52380.0,52380.0,1.0,1.0
AsQc,52380.0,52380.0,1.0,1.0
AsJc,52380.0,52380.0,1.0,1.0
AsTc,52380.0,52380.0,1.0,1.0
As9c,52380.0,52380.0,1.0,1.0
As8c,52380.0,52380.0,1.0,1.0
As7c,52380.0,52380.0,1.0,1.0
As6c,52380.0,52380.0,1.0,1.0
As5c,52380.0,52380.0,1.0,1.0
As4c,52380.0,52380.0,1.0,1.0
As3c,52380.0,52380.0,1.0,1.0
As2c,52380.0,52380.0,1.0,1.0
AsAd,52380.0,52380.0,1.0,1.0
AsKd,52380.0,52380.0,1.0,1.0
AsQd,52380.0,52380.0,1.0,1.0
AsJd,52380.0,52380.0,1.0,1.0
AsTd,52380.0,52380.0,1.0,1.0
As9d,52380.0,52380.0,1.0,1.0
As8d,52380.0,52380.0,1.0,1.0
As7d,52380.0,52380.0,1.0,1.0
As6d,52380.0,52380.0,1.0,1.0
As5d,52380.0,52380.0,1.0,1.0
As4d,52380.0,52380.0,1.0,1.0
As3d,52380.0,52380.0,1.0,1.0
As2d,52380.0,52380.0,1.0,1.0
AsAh,52380.0,52380.0,1.0,1.0
AsKh,52380.0,52380.0,1.0,1.0
AsQh,52380.0,52380.0,1.0,1.0
AsJh,52380.0,52380.0,1.0,1.0
AsTh,52380.0,52380.0,1.0,1.0
As9h,52380.0,52380.0,1.0,1.0
As8h,52380.0,52380.0,1.0,1.0
As7h,52380.0,52380.0,1.0,1.0
As6h,52380.0,52380.0,1.0,1.0
As5h,52380.0,52380.0,1.0,1.0
As4h,52380.0,52380.0,1.0,1.0
As3h,52380.0,52380.0,1.0,1.0
As2h,52380.0,52380.0,1.0,1.0
KsQs,52380.0,52380.0,1.0,1.0
KsJs,52380.0,52380.0,1.0,1.0
KsTs,52380.0,52380.0,1.0,1.0
Ks9s,52380.0,52380.0,1.0,1.0
Ks8s,52380.0,52380.0,1.0,1.0
Ks7s,52380.0,52380.0,1.0,1.0
Ks6s,52380.0,52380.0,1.0,1.0
Ks5s,52380.0,52380.0,1.0,1.0
Ks4s,52380.0,52380.0,1.0,1.0
Ks3s,52380.0,52245.0,1.0,0.9974226804123711
Ks2s,52357.0,26.0,0.9995609011072929,4.96372661321115E-4
KsAc,52380.0,52380.0,1.0,1.0
KsKc,52380.0,52380.0,1.0,1.0
KsQc,52380.0,52380.0,1.0,1.0
KsJc,52380.0,52380.0,1.0,1.0
KsTc,52380.0,52380.0,1.0,1.0
Ks9c,52380.0,52380.0,1.0,1.0
Ks8c,52380.0,52380.0,1.0,1.0
Ks7c,52380.0,41854.0,1.0,0.7990454371897671
Ks6c,5327.0,20.0,0.10169912180221459,3.8182512409316535E-4
Ks5c,4.0,13.0,7.636502481863306E-5,2.481863306605575E-4
Ks4c,2.0,10.0,3.818251240931653E-5,1.9091256204658267E-4
Ks3c,1.0,8.0,1.9091256204658265E-5,1.5273004963726612E-4
Ks2c,1.0,7.0,1.9091256204658265E-5,1.3363879343260786E-4
KsAd,52380.0,52380.0,1.0,1.0
KsKd,52380.0,52380.0,1.0,1.0
KsQd,52380.0,52380.0,1.0,1.0
KsJd,52380.0,52380.0,1.0,1.0
KsTd,52380.0,52380.0,1.0,1.0
Ks9d,52380.0,52380.0,1.0,1.0
Ks8d,52380.0,52380.0,1.0,1.0
Ks7d,52380.0,41854.0,1.0,0.7990454371897671
Ks6d,5327.0,20.0,0.10169912180221459,3.8182512409316535E-4
Ks5d,4.0,13.0,7.636502481863306E-5,2.481863306605575E-4
Ks4d,2.0,10.0,3.818251240931653E-5,1.9091256204658267E-4
Ks3d,1.0,8.0,1.9091256204658265E-5,1.5273004963726612E-4
Ks2d,1.0,7.0,1.9091256204658265E-5,1.3363879343260786E-4
KsAh,52380.0,52380.0,1.0,1.0
KsKh,52380.0,52380.0,1.0,1.0
KsQh,52380.0,52380.0,1.0,1.0
