Program Duration,5016.089386083333,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,39225.0,39225.0,1.0,1.0
AsQs,39225.0,39225.0,1.0,1.0
AsJs,39225.0,39225.0,1.0,1.0
AsTs,39225.0,39225.0,1.0,1.0
As9s,39225.0,39225.0,1.0,1.0
As8s,39225.0,39225.0,1.0,1.0
As7s,39225.0,39225.0,1.0,1.0
As6s,39225.0,39225.0,1.0,1.0
As5s,39225.0,39225.0,1.0,1.0
As4s,39225.0,39225.0,1.0,1.0
As3s,39225.0,39225.0,1.0,1.0
As2s,39225.0,39225.0,1.0,1.0
AsAc,39225.0,39225.0,1.0,1.0
AsKc,39225.0,39225.0,1.0,1.0
AsQc,39225.0,39225.0,1.0,1.0
AsJc,39225.0,39225.0,1.0,1.0
AsTc,39225.0,39225.0,1.0,1.0
As9c,39225.0,39225.0,1.0,1.0
As8c,39225.0,39225.0,1.0,1.0
As7c,39225.0,39225.0,1.0,1.0
As6c,39225.0,39225.0,1.0,1.0
As5c,39225.0,39225.0,1.0,1.0
As4c,39225.0,39225.0,1.0,1.0
As3c,39225.0,39225.0,1.0,1.0
As2c,39225.0,39225.0,1.0,1.0
AsAd,39225.0,39225.0,1.0,1.0
AsKd,39225.0,39225.0,1.0,1.0
AsQd,39225.0,39225.0,1.0,1.0
AsJd,39225.0,39225.0,1.0,1.0
AsTd,39225.0,39225.0,1.0,1.0
As9d,39225.0,39225.0,1.0,1.0
As8d,39225.0,39225.0,1.0,1.0
As7d,39225.0,39225.0,1.0,1.0
As6d,39225.0,39225.0,1.0,1.0
As5d,39225.0,39225.0,1.0,1.0
As4d,39225.0,39225.0,1.0,1.0
As3d,39225.0,39225.0,1.0,1.0
As2d,39225.0,39225.0,1.0,1.0
AsAh,39225.0,39225.0,1.0,1.0
AsKh,39225.0,39225.0,1.0,1.0
AsQh,39225.0,39225.0,1.0,1.0
AsJh,39225.0,39225.0,1.0,1.0
AsTh,39225.0,39225.0,1.0,1.0
As9h,39225.0,39225.0,1.0,1.0
As8h,39225.0,39225.0,1.0,1.0
As7h,39225.0,39225.0,1.0,1.0
As6h,39225.0,39225.0,1.0,1.0
As5h,39225.0,39225.0,1.0,1.0
As4h,39225.0,39225.0,1.0,1.0
As3h,39225.0,39225.0,1.0,1.0
As2h,39225.0,39225.0,1.0,1.0
KsQs,39225.0,39225.0,1.0,1.0
KsJs,39225.0,39225.0,1.0,1.0
KsTs,39225.0,39225.0,1.0,1.0
Ks9s,39225.0,39225.0,1.0,1.0
Ks8s,39225.0,39225.0,1.0,1.0
Ks7s,39225.0,39225.0,1.0,1.0
Ks6s,39225.0,39225.0,1.0,1.0
Ks5s,39225.0,39225.0,1.0,1.0
Ks4s,39225.0,39217.0,1.0,0.9997960484384959
Ks3s,39225.0,3.0,1.0,7.648183556405354E-5
Ks2s,39225.0,2.0,1.0,5.098789037603569E-5
KsAc,39225.0,39225.0,1.0,1.0
KsKc,39225.0,39225.0,1.0,1.0
KsQc,39225.0,39225.0,1.0,1.0
KsJc,39225.0,39225.0,1.0,1.0
KsTc,39225.0,39225.0,1.0,1.0
Ks9c,39225.0,39225.0,1.0,1.0
Ks8c,39225.0,39225.0,1.0,1.0
Ks7c,39225.0,39225.0,1.0,1.0
Ks6c,39225.0,23840.0,1.0,0.6077756532823454
Ks5c,39225.0,2.0,1.0,5.098789037603569E-5
Ks4c,39225.0,2.0,1.0,5.098789037603569E-5
Ks3c,39225.0,1.0,1.0,2.5493945188017844E-5
Ks2c,39225.0,1.0,1.0,2.5493945188017844E-5
KsAd,39225.0,39225.0,1.0,1.0
KsKd,39225.0,39225.0,1.0,1.0
KsQd,39225.0,39225.0,1.0,1.0
KsJd,39225.0,39225.0,1.0,1.0
KsTd,39225.0,39225.0,1.0,1.0
Ks9d,39225.0,39225.0,1.0,1.0
Ks8d,39225.0,39225.0,1.0,1.0
Ks7d,39225.0,39225.0,1.0,1.0
Ks6d,39225.0,23840.0,1.0,0.6077756532823454
Ks5d,39225.0,2.0,1.0,5.098789037603569E-5
Ks4d,39225.0,2.0,1.0,5.098789037603569E-5
Ks3d,39225.0,1.0,1.0,2.5493945188017844E-5
Ks2d,39225.0,1.0,1.0,2.5493945188017844E-5
KsAh,39225.0,39225.0,1.0,1.0
KsKh,39225.0,39225.0,1.0,1.0
KsQh,39225.0,39225.0,1.0,1.0
KsJh,39225.0,39225.0,1.0,1.0
KsTh,39225.0,39225.0,1.0,1.0
Ks9h,39225.0,39225.0,1.0,1.0
Ks8h,39225.0,39225.0,1.0,1.0
Ks7h,39225.0,39225.0,1.0,1.0
Ks6h,39225.0,23840.0,1.0,0.6077756532823454
Ks5h,39225.0,2.0,1.0,5.098789037603569E-5
Ks4h,39225.0,2.0,1.0,5.098789037603569E-5
Ks3h,39225.0,1.0,1.0,2.5493945188017844E-5
Ks2h,39225.0,1.0,1.0,2.5493945188017844E-5
QsJs,39225.0,39225.0,1.0,1.0
QsTs,39225.0,39225.0,1.0,1.0
Qs9s,39225.0,39225.0,1.0,1.0
Qs8s,39225.0,39225.0,1.0,1.0
Qs7s,39225.0,2.0,1.0,5.098789037603569E-5
Qs6s,39225.0,2.0,1.0,5.098789037603569E-5
Qs5s,39225.0,1.0,1.0,2.5493945188017844E-5
Qs4s,39225.0,1.0,1.0,2.5493945188017844E-5
Qs3s,39225.0,1.0,1.0,2.5493945188017844E-5
Qs2s,39225.0,1.0,1.0,2.5493945188017844E-5
QsAc,39225.0,39225.0,1.0,1.0
QsKc,39225.0,39225.0,1.0,1.0
QsQc,39225.0,39225.0,1.0,1.0
QsJc,39225.0,39225.0,1.0,1.0
QsTc,39225.0,39225.0,1.0,1.0
Qs9c,39225.0,39215.0,1.0,0.9997450605481198
Qs8c,39225.0,2.0,1.0,5.098789037603569E-5
Qs7c,39225.0,1.0,1.0,2.5493945188017844E-5
Qs6c,39225.0,1.0,1.0,2.5493945188017844E-5
Qs5c,39225.0,1.0,1.0,2.5493945188017844E-5
Qs4c,38963.0,1.0,0.9933205863607393,2.5493945188017844E-5
Qs3c,18.0,1.0,4.588910133843212E-4,2.5493945188017844E-5
Qs2c,1.0,1.0,2.5493945188017844E-5,2.5493945188017844E-5
QsAd,39225.0,39225.0,1.0,1.0
QsKd,39225.0,39225.0,1.0,1.0
QsQd,39225.0,39225.0,1.0,1.0
QsJd,39225.0,39225.0,1.0,1.0
QsTd,39225.0,39225.0,1.0,1.0
Qs9d,39225.0,39215.0,1.0,0.9997450605481198
Qs8d,39225.0,2.0,1.0,5.098789037603569E-5
Qs7d,39225.0,1.0,1.0,2.5493945188017844E-5
Qs6d,39225.0,1.0,1.0,2.5493945188017844E-5
Qs5d,39225.0,1.0,1.0,2.5493945188017844E-5
Qs4d,38963.0,1.0,0.9933205863607393,2.5493945188017844E-5
Qs3d,18.0,1.0,4.588910133843212E-4,2.5493945188017844E-5
Qs2d,1.0,1.0,2.5493945188017844E-5,2.5493945188017844E-5
QsAh,39225.0,39225.0,1.0,1.0
QsKh,39225.0,39225.0,1.0,1.0
QsQh,39225.0,39225.0,1.0,1.0
QsJh,39225.0,39225.0,1.0,1.0
QsTh,39225.0,39225.0,1.0,1.0
Qs9h,39225.0,39215.0,1.0,0.9997450605481198
Qs8h,39225.0,2.0,1.0,5.098789037603569E-5
Qs7h,39225.0,1.0,1.0,2.5493945188017844E-5
Qs6h,39225.0,1.0,1.0,2.5493945188017844E-5
Qs5h,39225.0,1.0,1.0,2.5493945188017844E-5
Qs4h,38963.0,1.0,0.9933205863607393,2.5493945188017844E-5
Qs3h,18.0,1.0,4.588910133843212E-4,2.5493945188017844E-5
Qs2h,1.0,1.0,2.5493945188017844E-5,2.5493945188017844E-5
JsTs,39225.0,39225.0,1.0,1.0
Js9s,39225.0,39212.0,1.0,0.9996685787125558
Js8s,39225.0,2.0,1.0,5.098789037603569E-5
Js7s,39225.0,1.0,1.0,2.5493945188017844E-5
Js6s,39225.0,1.0,1.0,2.5493945188017844E-5
Js5s,39225.0,1.0,1.0,2.5493945188017844E-5
Js4s,39225.0,1.0,1.0,2.5493945188017844E-5
Js3s,39225.0,1.0,1.0,2.5493945188017844E-5
Js2s,39222.0,1.0,0.9999235181644359,2.5493945188017844E-5
JsAc,39225.0,39225.0,1.0,1.0
JsKc,39225.0,39225.0,1.0,1.0
JsQc,39225.0,39225.0,1.0,1.0
JsJc,39225.0,39225.0,1.0,1.0
JsTc,39225.0,39205.0,1.0,0.9994901210962397
Js9c,39225.0,2.0,1.0,5.098789037603569E-5
Js8c,39225.0,1.0,1.0,2.5493945188017844E-5
Js7c,39225.0,1.0,1.0,2.5493945188017844E-5
Js6c,37.0,1.0,9.432759719566603E-4,2.5493945188017844E-5
Js5c,22.0,1.0,5.608667941363926E-4,2.5493945188017844E-5
Js4c,1.0,1.0,2.5493945188017844E-5,2.5493945188017844E-5
Js3c,1.0,1.0,2.5493945188017844E-5,2.5493945188017844E-5
Js2c,1.0,1.0,2.5493945188017844E-5,2.5493945188017844E-5
JsAd,39225.0,39225.0,1.0,1.0
JsKd,39225.0,39225.0,1.0,1.0
JsQd,39225.0,39225.0,1.0,1.0
JsJd,39225.0,39225.0,1.0,1.0
