Program Duration,2661.2590751933335,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,8474.0,8474.0,1.0,1.0
AsQs,8474.0,8474.0,1.0,1.0
AsJs,8474.0,8474.0,1.0,1.0
AsTs,8474.0,8474.0,1.0,1.0
As9s,8474.0,8474.0,1.0,1.0
As8s,8474.0,8474.0,1.0,1.0
As7s,8474.0,8474.0,1.0,1.0
As6s,8474.0,8474.0,1.0,1.0
As5s,8474.0,8474.0,1.0,1.0
As4s,8474.0,8474.0,1.0,1.0
As3s,8474.0,8474.0,1.0,1.0
As2s,8474.0,8474.0,1.0,1.0
AsAc,8474.0,8474.0,1.0,1.0
AsKc,8474.0,8474.0,1.0,1.0
AsQc,8474.0,8474.0,1.0,1.0
AsJc,8474.0,8474.0,1.0,1.0
AsTc,8474.0,8474.0,1.0,1.0
As9c,8474.0,8474.0,1.0,1.0
As8c,8474.0,8474.0,1.0,1.0
As7c,8474.0,8474.0,1.0,1.0
As6c,8474.0,8474.0,1.0,1.0
As5c,8474.0,8474.0,1.0,1.0
As4c,8474.0,8474.0,1.0,1.0
As3c,8474.0,8474.0,1.0,1.0
As2c,8474.0,8474.0,1.0,1.0
AsAd,8474.0,8474.0,1.0,1.0
AsKd,8474.0,8474.0,1.0,1.0
AsQd,8474.0,8474.0,1.0,1.0
AsJd,8474.0,8474.0,1.0,1.0
AsTd,8474.0,8474.0,1.0,1.0
As9d,8474.0,8474.0,1.0,1.0
As8d,8474.0,8474.0,1.0,1.0
As7d,8474.0,8474.0,1.0,1.0
As6d,8474.0,8474.0,1.0,1.0
As5d,8474.0,8474.0,1.0,1.0
As4d,8474.0,8474.0,1.0,1.0
As3d,8474.0,8474.0,1.0,1.0
As2d,8474.0,8474.0,1.0,1.0
AsAh,8474.0,8474.0,1.0,1.0
AsKh,8474.0,8474.0,1.0,1.0
AsQh,8474.0,8474.0,1.0,1.0
AsJh,8474.0,8474.0,1.0,1.0
AsTh,8474.0,8474.0,1.0,1.0
As9h,8474.0,8474.0,1.0,1.0
As8h,8474.0,8474.0,1.0,1.0
As7h,8474.0,8474.0,1.0,1.0
As6h,8474.0,8474.0,1.0,1.0
As5h,8474.0,8474.0,1.0,1.0
As4h,8474.0,8474.0,1.0,1.0
As3h,8474.0,8474.0,1.0,1.0
As2h,8474.0,8474.0,1.0,1.0
KsQs,8474.0,8474.0,1.0,1.0
KsJs,8474.0,8474.0,1.0,1.0
KsTs,8474.0,8474.0,1.0,1.0
Ks9s,8474.0,8474.0,1.0,1.0
Ks8s,8474.0,8474.0,1.0,1.0
Ks7s,8474.0,8474.0,1.0,1.0
Ks6s,8474.0,8453.0,1.0,0.997521831484541
Ks5s,8474.0,8418.0,1.0,0.9933915506254425
Ks4s,8474.0,7.0,1.0,8.260561718196837E-4
Ks3s,8474.0,6.0,1.0,7.080481472740147E-4
Ks2s,8474.0,5.0,1.0,5.900401227283455E-4
KsAc,8474.0,8474.0,1.0,1.0
KsKc,8474.0,8474.0,1.0,1.0
KsQc,8474.0,8474.0,1.0,1.0
KsJc,8474.0,8474.0,1.0,1.0
KsTc,8474.0,8474.0,1.0,1.0
Ks9c,8474.0,8474.0,1.0,1.0
Ks8c,8474.0,8440.0,1.0,0.9959877271654473
Ks7c,8474.0,6.0,1.0,7.080481472740147E-4
Ks6c,8474.0,5.0,1.0,5.900401227283455E-4
Ks5c,8462.0,4.0,0.998583903705452,4.720320981826764E-4
Ks4c,2.0,3.0,2.360160490913382E-4,3.5402407363700734E-4
Ks3c,1.0,3.0,1.180080245456691E-4,3.5402407363700734E-4
Ks2c,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
KsAd,8474.0,8474.0,1.0,1.0
KsKd,8474.0,8474.0,1.0,1.0
KsQd,8474.0,8474.0,1.0,1.0
KsJd,8474.0,8474.0,1.0,1.0
KsTd,8474.0,8474.0,1.0,1.0
Ks9d,8474.0,8474.0,1.0,1.0
Ks8d,8474.0,8440.0,1.0,0.9959877271654473
Ks7d,8474.0,6.0,1.0,7.080481472740147E-4
Ks6d,8474.0,5.0,1.0,5.900401227283455E-4
Ks5d,8462.0,4.0,0.998583903705452,4.720320981826764E-4
Ks4d,2.0,3.0,2.360160490913382E-4,3.5402407363700734E-4
Ks3d,1.0,3.0,1.180080245456691E-4,3.5402407363700734E-4
Ks2d,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
KsAh,8474.0,8474.0,1.0,1.0
KsKh,8474.0,8474.0,1.0,1.0
KsQh,8474.0,8474.0,1.0,1.0
KsJh,8474.0,8474.0,1.0,1.0
KsTh,8474.0,8474.0,1.0,1.0
Ks9h,8474.0,8474.0,1.0,1.0
Ks8h,8474.0,8440.0,1.0,0.9959877271654473
Ks7h,8474.0,6.0,1.0,7.080481472740147E-4
Ks6h,8474.0,5.0,1.0,5.900401227283455E-4
Ks5h,8462.0,4.0,0.998583903705452,4.720320981826764E-4
Ks4h,2.0,3.0,2.360160490913382E-4,3.5402407363700734E-4
Ks3h,1.0,3.0,1.180080245456691E-4,3.5402407363700734E-4
Ks2h,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
QsJs,8474.0,8474.0,1.0,1.0
QsTs,8474.0,8474.0,1.0,1.0
Qs9s,8474.0,8458.0,1.0,0.9981118716072693
Qs8s,8474.0,7.0,1.0,8.260561718196837E-4
Qs7s,8469.0,4.0,0.9994099598772717,4.720320981826764E-4
Qs6s,8465.0,4.0,0.998937927779089,4.720320981826764E-4
Qs5s,8460.0,3.0,0.9983478876563606,3.5402407363700734E-4
Qs4s,8454.0,3.0,0.9976398395090866,3.5402407363700734E-4
Qs3s,42.0,2.0,0.004956337030918102,2.360160490913382E-4
Qs2s,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
QsAc,8474.0,8474.0,1.0,1.0
QsKc,8474.0,8474.0,1.0,1.0
QsQc,8474.0,8474.0,1.0,1.0
QsJc,8474.0,8474.0,1.0,1.0
QsTc,8474.0,8457.0,1.0,0.9979938635827236
Qs9c,8474.0,5.0,1.0,5.900401227283455E-4
Qs8c,49.0,3.0,0.005782393202737786,3.5402407363700734E-4
Qs7c,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
Qs6c,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
Qs5c,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
Qs4c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Qs3c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Qs2c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
QsAd,8474.0,8474.0,1.0,1.0
QsKd,8474.0,8474.0,1.0,1.0
QsQd,8474.0,8474.0,1.0,1.0
QsJd,8474.0,8474.0,1.0,1.0
QsTd,8474.0,8457.0,1.0,0.9979938635827236
Qs9d,8474.0,5.0,1.0,5.900401227283455E-4
Qs8d,49.0,3.0,0.005782393202737786,3.5402407363700734E-4
Qs7d,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
Qs6d,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
Qs5d,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
Qs4d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Qs3d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Qs2d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
QsAh,8474.0,8474.0,1.0,1.0
QsKh,8474.0,8474.0,1.0,1.0
QsQh,8474.0,8474.0,1.0,1.0
QsJh,8474.0,8474.0,1.0,1.0
QsTh,8474.0,8457.0,1.0,0.9979938635827236
Qs9h,8474.0,5.0,1.0,5.900401227283455E-4
Qs8h,49.0,3.0,0.005782393202737786,3.5402407363700734E-4
Qs7h,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
Qs6h,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
Qs5h,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
Qs4h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Qs3h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Qs2h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
JsTs,8474.0,8474.0,1.0,1.0
Js9s,8474.0,8362.0,1.0,0.9867831012508851
Js8s,8469.0,5.0,0.9994099598772717,5.900401227283455E-4
Js7s,8461.0,3.0,0.9984658956809063,3.5402407363700734E-4
Js6s,8450.0,2.0,0.9971678074109039,2.360160490913382E-4
Js5s,374.0,2.0,0.04413500118008024,2.360160490913382E-4
Js4s,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
Js3s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Js2s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
JsAc,8474.0,8474.0,1.0,1.0
JsKc,8474.0,8474.0,1.0,1.0
JsQc,8474.0,8474.0,1.0,1.0
JsJc,8474.0,8474.0,1.0,1.0
JsTc,8474.0,70.0,1.0,0.008260561718196837
Js9c,8462.0,4.0,0.998583903705452,4.720320981826764E-4
Js8c,43.0,2.0,0.005074345055463772,2.360160490913382E-4
Js7c,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
Js6c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Js5c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Js4c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Js3c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Js2c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
JsAd,8474.0,8474.0,1.0,1.0
JsKd,8474.0,8474.0,1.0,1.0
JsQd,8474.0,8474.0,1.0,1.0
JsJd,8474.0,8474.0,1.0,1.0
JsTd,8474.0,70.0,1.0,0.008260561718196837
Js9d,8462.0,4.0,0.998583903705452,4.720320981826764E-4
Js8d,43.0,2.0,0.005074345055463772,2.360160490913382E-4
Js7d,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
Js6d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Js5d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Js4d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Js3d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Js2d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
JsAh,8474.0,8474.0,1.0,1.0
JsKh,8474.0,8474.0,1.0,1.0
JsQh,8474.0,8474.0,1.0,1.0
JsJh,8474.0,8474.0,1.0,1.0
JsTh,8474.0,70.0,1.0,0.008260561718196837
Js9h,8462.0,4.0,0.998583903705452,4.720320981826764E-4
Js8h,43.0,2.0,0.005074345055463772,2.360160490913382E-4
Js7h,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
Js6h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Js5h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Js4h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Js3h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Js2h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts9s,8474.0,7.0,1.0,8.260561718196837E-4
Ts8s,8466.0,4.0,0.9990559358036346,4.720320981826764E-4
Ts7s,8460.0,3.0,0.9983478876563606,3.5402407363700734E-4
Ts6s,8451.0,2.0,0.9972858154354496,2.360160490913382E-4
Ts5s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts4s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts3s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts2s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
TsAc,8474.0,8474.0,1.0,1.0
TsKc,8474.0,8474.0,1.0,1.0
TsQc,8474.0,8457.0,1.0,0.9979938635827236
TsJc,8474.0,70.0,1.0,0.008260561718196837
TsTc,8474.0,8474.0,1.0,1.0
Ts9c,8459.0,3.0,0.998229879631815,3.5402407363700734E-4
Ts8c,8331.0,2.0,0.9831248524899693,2.360160490913382E-4
Ts7c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts6c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts5c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts4c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts3c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts2c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
TsAd,8474.0,8474.0,1.0,1.0
TsKd,8474.0,8474.0,1.0,1.0
TsQd,8474.0,8457.0,1.0,0.9979938635827236
TsJd,8474.0,70.0,1.0,0.008260561718196837
TsTd,8474.0,8474.0,1.0,1.0
Ts9d,8459.0,3.0,0.998229879631815,3.5402407363700734E-4
Ts8d,8331.0,2.0,0.9831248524899693,2.360160490913382E-4
Ts7d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts6d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts5d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts4d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts3d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts2d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
TsAh,8474.0,8474.0,1.0,1.0
TsKh,8474.0,8474.0,1.0,1.0
TsQh,8474.0,8457.0,1.0,0.9979938635827236
TsJh,8474.0,70.0,1.0,0.008260561718196837
TsTh,8474.0,8474.0,1.0,1.0
Ts9h,8459.0,3.0,0.998229879631815,3.5402407363700734E-4
Ts8h,8331.0,2.0,0.9831248524899693,2.360160490913382E-4
Ts7h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts6h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts5h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts4h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts3h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
Ts2h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s8s,8465.0,4.0,0.998937927779089,4.720320981826764E-4
9s7s,8460.0,2.0,0.9983478876563606,2.360160490913382E-4
9s6s,8452.0,1.0,0.9974038234599952,1.180080245456691E-4
9s5s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s4s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s3s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s2s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9sAc,8474.0,8474.0,1.0,1.0
9sKc,8474.0,8474.0,1.0,1.0
9sQc,8474.0,5.0,1.0,5.900401227283455E-4
9sJc,8462.0,4.0,0.998583903705452,4.720320981826764E-4
9sTc,8459.0,3.0,0.998229879631815,3.5402407363700734E-4
9s9c,8474.0,8474.0,1.0,1.0
9s8c,8447.0,1.0,0.9968137833372669,1.180080245456691E-4
9s7c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s6c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s5c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s4c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s3c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s2c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9sAd,8474.0,8474.0,1.0,1.0
9sKd,8474.0,8474.0,1.0,1.0
9sQd,8474.0,5.0,1.0,5.900401227283455E-4
9sJd,8462.0,4.0,0.998583903705452,4.720320981826764E-4
9sTd,8459.0,3.0,0.998229879631815,3.5402407363700734E-4
9s9d,8474.0,8474.0,1.0,1.0
9s8d,8447.0,1.0,0.9968137833372669,1.180080245456691E-4
9s7d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s6d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s5d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s4d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s3d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s2d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9sAh,8474.0,8474.0,1.0,1.0
9sKh,8474.0,8474.0,1.0,1.0
9sQh,8474.0,5.0,1.0,5.900401227283455E-4
9sJh,8462.0,4.0,0.998583903705452,4.720320981826764E-4
9sTh,8459.0,3.0,0.998229879631815,3.5402407363700734E-4
9s9h,8474.0,8474.0,1.0,1.0
9s8h,8447.0,1.0,0.9968137833372669,1.180080245456691E-4
9s7h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s6h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s5h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s4h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s3h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
9s2h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s7s,8461.0,2.0,0.9984658956809063,2.360160490913382E-4
8s6s,8455.0,1.0,0.9977578475336323,1.180080245456691E-4
8s5s,8438.0,1.0,0.995751711116356,1.180080245456691E-4
8s4s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s3s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s2s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8sAc,8474.0,8474.0,1.0,1.0
8sKc,8474.0,8440.0,1.0,0.9959877271654473
8sQc,49.0,3.0,0.005782393202737786,3.5402407363700734E-4
8sJc,43.0,2.0,0.005074345055463772,2.360160490913382E-4
8sTc,8331.0,2.0,0.9831248524899693,2.360160490913382E-4
8s9c,8447.0,1.0,0.9968137833372669,1.180080245456691E-4
8s8c,8474.0,8474.0,1.0,1.0
8s7c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s6c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s5c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s4c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s3c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s2c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8sAd,8474.0,8474.0,1.0,1.0
8sKd,8474.0,8440.0,1.0,0.9959877271654473
8sQd,49.0,3.0,0.005782393202737786,3.5402407363700734E-4
8sJd,43.0,2.0,0.005074345055463772,2.360160490913382E-4
8sTd,8331.0,2.0,0.9831248524899693,2.360160490913382E-4
8s9d,8447.0,1.0,0.9968137833372669,1.180080245456691E-4
8s8d,8474.0,8474.0,1.0,1.0
8s7d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s6d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s5d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s4d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s3d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s2d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8sAh,8474.0,8474.0,1.0,1.0
8sKh,8474.0,8440.0,1.0,0.9959877271654473
8sQh,49.0,3.0,0.005782393202737786,3.5402407363700734E-4
8sJh,43.0,2.0,0.005074345055463772,2.360160490913382E-4
8sTh,8331.0,2.0,0.9831248524899693,2.360160490913382E-4
8s9h,8447.0,1.0,0.9968137833372669,1.180080245456691E-4
8s8h,8474.0,8474.0,1.0,1.0
8s7h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s6h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s5h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s4h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s3h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
8s2h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s6s,8457.0,1.0,0.9979938635827236,1.180080245456691E-4
7s5s,8446.0,1.0,0.9966957753127212,1.180080245456691E-4
7s4s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s3s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s2s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7sAc,8474.0,8474.0,1.0,1.0
7sKc,8474.0,6.0,1.0,7.080481472740147E-4
7sQc,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
7sJc,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
7sTc,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s9c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s8c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s7c,8474.0,8474.0,1.0,1.0
7s6c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s5c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s4c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s3c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s2c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7sAd,8474.0,8474.0,1.0,1.0
7sKd,8474.0,6.0,1.0,7.080481472740147E-4
7sQd,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
7sJd,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
7sTd,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s9d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s8d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s7d,8474.0,8474.0,1.0,1.0
7s6d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s5d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s4d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s3d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s2d,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7sAh,8474.0,8474.0,1.0,1.0
7sKh,8474.0,6.0,1.0,7.080481472740147E-4
7sQh,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
7sJh,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
7sTh,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s9h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s8h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s7h,8474.0,8474.0,1.0,1.0
7s6h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s5h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s4h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s3h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
7s2h,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
6s5s,8451.0,1.0,0.9972858154354496,1.180080245456691E-4
6s4s,7756.0,1.0,0.9152702383762096,1.180080245456691E-4
6s3s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
6s2s,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
6sAc,8474.0,8474.0,1.0,1.0
6sKc,8474.0,5.0,1.0,5.900401227283455E-4
6sQc,1.0,2.0,1.180080245456691E-4,2.360160490913382E-4
6sJc,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
6sTc,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
6s9c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
6s8c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
6s7c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
6s6c,8474.0,8474.0,1.0,1.0
6s5c,1.0,1.0,1.180080245456691E-4,1.180080245456691E-4
