,P1 Freq,P2 Freq,P1 Strat,P2 Strat
2c5d,1,0,0.011111111,0
2c4d,1,0,0.011111111,0
2c3d,1,0,0.011111111,0
2c2d,2,14,0.022222222,0.155555556
2cAh,4,12,0.044444444,0.133333333
2cKh,2,3,0.022222222,0.033333333
2cQh,1,1,0.011111111,0.011111111
2cJh,1,0,0.011111111,0
2cTh,1,0,0.011111111,0
2c9h,1,0,0.011111111,0
2c8h,1,0,0.011111111,0
2c7h,1,0,0.011111111,0
2c6h,1,0,0.011111111,0
2c5h,1,0,0.011111111,0
2c4h,1,0,0.011111111,0
2c3h,1,0,0.011111111,0
2c2h,2,14,0.022222222,0.155555556
AdKd,72,90,0.8,1
AdQd,72,90,0.8,1
AdJd,63,90,0.7,1
AdTd,55,90,0.611111111,1
Ad9d,36,90,0.4,1
Ad8d,31,77,0.344444444,0.855555556
Ad7d,27,63,0.3,0.7
Ad6d,22,53,0.244444444,0.588888889
Ad5d,24,59,0.266666667,0.655555556
Ad4d,21,53,0.233333333,0.588888889
Ad3d,18,48,0.2,0.533333333
Ad2d,16,44,0.177777778,0.488888889
AdAh,90,90,1,1
AdKh,90,90,1,1
AdQh,90,90,1,1
AdJh,58,90,0.644444444,1
AdTh,37,70,0.411111111,0.777777778
Ad9h,20,42,0.222222222,0.466666667
Ad8h,13,33,0.144444444,0.366666667
Ad7h,10,27,0.111111111,0.3
Ad6h,7,22,0.077777778,0.244444444
Ad5h,7,23,0.077777778,0.255555556
Ad4h,6,19,0.066666667,0.211111111
Ad3h,5,17,0.055555556,0.188888889
Ad2h,5,16,0.055555556,0.177777778
KdQd,8,90,0.088888889,1
KdJd,8,68,0.088888889,0.755555556
KdTd,8,48,0.088888889,0.533333333
Kd9d,6,25,0.066666667,0.277777778
Kd8d,5,16,0.055555556,0.177777778
Kd7d,5,15,0.055555556,0.166666667
Kd6d,4,13,0.044444444,0.144444444
Kd5d,4,11,0.044444444,0.122222222
Kd4d,4,9,0.044444444,0.1
Kd3d,3,8,0.033333333,0.088888889
Kd2d,3,7,0.033333333,0.077777778
KdAh,90,90,1,1
KdKh,90,90,1,1
KdQh,10,34,0.111111111,0.377777778
KdJh,8,25,0.088888889,0.277777778
KdTh,6,19,0.066666667,0.211111111
Kd9h,4,11,0.044444444,0.122222222
Kd8h,3,8,0.033333333,0.088888889
Kd7h,3,7,0.033333333,0.077777778
Kd6h,3,6,0.033333333,0.066666667
Kd5h,2,5,0.022222222,0.055555556
Kd4h,2,4,0.022222222,0.044444444
Kd3h,2,3,0.022222222,0.033333333
Kd2h,2,3,0.022222222,0.033333333
QdJd,4,45,0.044444444,0.5
QdTd,4,34,0.044444444,0.377777778
Qd9d,3,17,0.033333333,0.188888889
Qd8d,3,10,0.033333333,0.111111111
Qd7d,2,7,0.022222222,0.077777778
Qd6d,2,6,0.022222222,0.066666667
Qd5d,2,5,0.022222222,0.055555556
Qd4d,2,4,0.022222222,0.044444444
Qd3d,2,3,0.022222222,0.033333333
Qd2d,2,3,0.022222222,0.033333333
QdAh,90,90,1,1
QdKh,10,37,0.111111111,0.411111111
QdQh,90,90,1,1
QdJh,3,15,0.033333333,0.166666667
QdTh,3,12,0.033333333,0.133333333
Qd9h,2,7,0.022222222,0.077777778
Qd8h,2,4,0.022222222,0.044444444
Qd7h,2,3,0.022222222,0.033333333
Qd6h,2,3,0.022222222,0.033333333
Qd5h,2,2,0.022222222,0.022222222
Qd4h,2,2,0.022222222,0.022222222
Qd3h,1,1,0.011111111,0.011111111
Qd2h,1,1,0.011111111,0.011111111
JdTd,3,28,0.033333333,0.311111111
Jd9d,2,13,0.022222222,0.144444444
Jd8d,2,8,0.022222222,0.088888889
Jd7d,2,5,0.022222222,0.055555556
Jd6d,2,3,0.022222222,0.033333333
Jd5d,2,2,0.022222222,0.022222222
Jd4d,2,2,0.022222222,0.022222222
Jd3d,2,1,0.022222222,0.011111111
Jd2d,2,1,0.022222222,0.011111111
JdAh,74,90,0.822222222,1
JdKh,8,27,0.088888889,0.3
JdQh,3,16,0.033333333,0.177777778
JdJh,90,90,1,1
JdTh,2,9,0.022222222,0.1
Jd9h,2,5,0.022222222,0.055555556
Jd8h,2,3,0.022222222,0.033333333
Jd7h,1,2,0.011111111,0.022222222
Jd6h,1,1,0.011111111,0.011111111
Jd5h,1,1,0.011111111,0.011111111
Jd4h,1,1,0.011111111,0.011111111
Jd3h,1,1,0.011111111,0.011111111
Jd2h,1,0,0.011111111,0
Td9d,2,12,0.022222222,0.133333333
Td8d,2,6,0.022222222,0.066666667
Td7d,2,4,0.022222222,0.044444444
Td6d,2,2,0.022222222,0.022222222
Td5d,1,1,0.011111111,0.011111111
Td4d,1,1,0.011111111,0.011111111
Td3d,1,1,0.011111111,0.011111111
Td2d,1,0,0.011111111,0
TdAh,43,80,0.477777778,0.888888889
TdKh,6,21,0.066666667,0.233333333
TdQh,3,13,0.033333333,0.144444444
TdJh,2,9,0.022222222,0.1
TdTh,90,90,1,1
Td9h,2,4,0.022222222,0.044444444
Td8h,1,2,0.011111111,0.022222222
Td7h,1,1,0.011111111,0.011111111
Td6h,1,1,0.011111111,0.011111111
Td5h,1,0,0.011111111,0
Td4h,1,0,0.011111111,0
Td3h,1,0,0.011111111,0
Td2h,1,0,0.011111111,0
9d8d,2,5,0.022222222,0.055555556
9d7d,2,3,0.022222222,0.033333333
9d6d,2,1,0.022222222,0.011111111
9d5d,1,1,0.011111111,0.011111111
9d4d,1,0,0.011111111,0
9d3d,1,0,0.011111111,0
9d2d,1,0,0.011111111,0
9dAh,19,43,0.211111111,0.477777778
9dKh,4,12,0.044444444,0.133333333
9dQh,2,7,0.022222222,0.077777778
9dJh,2,5,0.022222222,0.055555556
9dTh,2,4,0.022222222,0.044444444
9d9h,90,90,1,1
9d8h,1,1,0.011111111,0.011111111
9d7h,1,1,0.011111111,0.011111111
9d6h,1,0,0.011111111,0
9d5h,1,0,0.011111111,0
9d4h,1,0,0.011111111,0
9d3h,1,0,0.011111111,0
9d2h,1,0,0.011111111,0
8d7d,2,2,0.022222222,0.022222222
8d6d,2,1,0.022222222,0.011111111
8d5d,1,0,0.011111111,0
8d4d,1,0,0.011111111,0
8d3d,1,0,0.011111111,0
8d2d,1,0,0.011111111,0
8dAh,12,32,0.133333333,0.355555556
8dKh,3,8,0.033333333,0.088888889
8dQh,2,4,0.022222222,0.044444444
8dJh,2,3,0.022222222,0.033333333
8dTh,1,2,0.011111111,0.022222222
8d9h,1,1,0.011111111,0.011111111
8d8h,76,90,0.844444444,1
8d7h,1,1,0.011111111,0.011111111
8d6h,1,0,0.011111111,0
8d5h,1,0,0.011111111,0
8d4h,1,0,0.011111111,0
8d3h,1,0,0.011111111,0
8d2h,1,0,0.011111111,0
7d6d,2,1,0.022222222,0.011111111
7d5d,1,0,0.011111111,0
7d4d,1,0,0.011111111,0
7d3d,1,0,0.011111111,0
7d2d,1,0,0.011111111,0
7dAh,8,24,0.088888889,0.266666667
7dKh,3,6,0.033333333,0.066666667
7dQh,2,3,0.022222222,0.033333333
7dJh,1,2,0.011111111,0.022222222
7dTh,1,1,0.011111111,0.011111111
7d9h,1,1,0.011111111,0.011111111
7d8h,1,1,0.011111111,0.011111111
7d7h,40,90,0.444444444,1
7d6h,1,0,0.011111111,0
7d5h,1,0,0.011111111,0
7d4h,1,0,0.011111111,0
7d3h,1,0,0.011111111,0
7d2h,1,0,0.011111111,0
6d5d,1,0,0.011111111,0
6d4d,1,0,0.011111111,0
6d3d,1,0,0.011111111,0
6d2d,1,0,0.011111111,0
6dAh,6,18,0.066666667,0.2
6dKh,2,5,0.022222222,0.055555556
6dQh,2,3,0.022222222,0.033333333
6dJh,1,1,0.011111111,0.011111111
6dTh,1,1,0.011111111,0.011111111
6d9h,1,0,0.011111111,0
6d8h,1,0,0.011111111,0
6d7h,1,0,0.011111111,0
6d6h,20,75,0.222222222,0.833333333
6d5h,1,0,0.011111111,0
6d4h,1,0,0.011111111,0
6d3h,1,0,0.011111111,0
6d2h,1,0,0.011111111,0
5d4d,1,0,0.011111111,0
5d3d,1,0,0.011111111,0
5d2d,1,0,0.011111111,0
5dAh,6,18,0.066666667,0.2
5dKh,2,5,0.022222222,0.055555556
5dQh,2,2,0.022222222,0.022222222
5dJh,1,1,0.011111111,0.011111111
5dTh,1,0,0.011111111,0
5d9h,1,0,0.011111111,0
5d8h,1,0,0.011111111,0
5d7h,1,0,0.011111111,0
5d6h,1,0,0.011111111,0
5d5h,9,58,0.1,0.644444444
5d4h,1,0,0.011111111,0
5d3h,1,0,0.011111111,0
5d2h,1,0,0.011111111,0
4d3d,1,0,0.011111111,0
4d2d,1,0,0.011111111,0
4dAh,5,15,0.055555556,0.166666667
4dKh,2,4,0.022222222,0.044444444
4dQh,1,2,0.011111111,0.022222222
4dJh,1,1,0.011111111,0.011111111
4dTh,1,0,0.011111111,0
4d9h,1,0,0.011111111,0
4d8h,1,0,0.011111111,0
4d7h,1,0,0.011111111,0
4d6h,1,0,0.011111111,0
4d5h,1,0,0.011111111,0
4d4h,5,40,0.055555556,0.444444444
4d3h,1,0,0.011111111,0
4d2h,1,0,0.011111111,0
3d2d,1,0,0.011111111,0
3dAh,4,13,0.044444444,0.144444444
3dKh,2,3,0.022222222,0.033333333
3dQh,1,1,0.011111111,0.011111111
3dJh,1,1,0.011111111,0.011111111
3dTh,1,0,0.011111111,0
3d9h,1,0,0.011111111,0
3d8h,1,0,0.011111111,0
3d7h,1,0,0.011111111,0
3d6h,1,0,0.011111111,0
3d5h,1,0,0.011111111,0
3d4h,1,0,0.011111111,0
3d3h,3,26,0.033333333,0.288888889
3d2h,1,0,0.011111111,0
2dAh,4,12,0.044444444,0.133333333
2dKh,2,3,0.022222222,0.033333333
2dQh,1,1,0.011111111,0.011111111
2dJh,1,0,0.011111111,0
2dTh,1,0,0.011111111,0
2d9h,1,0,0.011111111,0
2d8h,1,0,0.011111111,0
2d7h,1,0,0.011111111,0
2d6h,1,0,0.011111111,0
2d5h,1,0,0.011111111,0
2d4h,1,0,0.011111111,0
2d3h,1,0,0.011111111,0
2d2h,2,14,0.022222222,0.155555556
AhKh,72,90,0.8,1
AhQh,72,90,0.8,1
AhJh,63,90,0.7,1
AhTh,55,90,0.611111111,1
Ah9h,36,90,0.4,1
Ah8h,31,77,0.344444444,0.855555556
Ah7h,27,63,0.3,0.7
Ah6h,22,53,0.244444444,0.588888889
Ah5h,24,59,0.266666667,0.655555556
Ah4h,21,53,0.233333333,0.588888889
Ah3h,18,48,0.2,0.533333333
Ah2h,16,44,0.177777778,0.488888889
KhQh,8,90,0.088888889,1
KhJh,8,68,0.088888889,0.755555556
KhTh,8,48,0.088888889,0.533333333
Kh9h,6,25,0.066666667,0.277777778
Kh8h,5,16,0.055555556,0.177777778
Kh7h,5,15,0.055555556,0.166666667
Kh6h,4,13,0.044444444,0.144444444
Kh5h,4,11,0.044444444,0.122222222
Kh4h,4,9,0.044444444,0.1
Kh3h,3,8,0.033333333,0.088888889
Kh2h,3,7,0.033333333,0.077777778
QhJh,4,45,0.044444444,0.5
QhTh,4,34,0.044444444,0.377777778
Qh9h,3,17,0.033333333,0.188888889
Qh8h,3,10,0.033333333,0.111111111
Qh7h,2,7,0.022222222,0.077777778
Qh6h,2,6,0.022222222,0.066666667
Qh5h,2,5,0.022222222,0.055555556
Qh4h,2,4,0.022222222,0.044444444
Qh3h,2,3,0.022222222,0.033333333
Qh2h,2,3,0.022222222,0.033333333
JhTh,3,28,0.033333333,0.311111111
Jh9h,2,13,0.022222222,0.144444444
Jh8h,2,8,0.022222222,0.088888889
Jh7h,2,5,0.022222222,0.055555556
Jh6h,2,3,0.022222222,0.033333333
Jh5h,2,2,0.022222222,0.022222222
Jh4h,2,2,0.022222222,0.022222222
Jh3h,2,1,0.022222222,0.011111111
Jh2h,2,1,0.022222222,0.011111111
Th9h,2,12,0.022222222,0.133333333
Th8h,2,6,0.022222222,0.066666667
Th7h,2,4,0.022222222,0.044444444
Th6h,2,2,0.022222222,0.022222222
Th5h,1,1,0.011111111,0.011111111
Th4h,1,1,0.011111111,0.011111111
Th3h,1,1,0.011111111,0.011111111
Th2h,1,0,0.011111111,0
9h8h,2,5,0.022222222,0.055555556
9h7h,2,3,0.022222222,0.033333333
9h6h,2,1,0.022222222,0.011111111
9h5h,1,1,0.011111111,0.011111111
9h4h,1,0,0.011111111,0
9h3h,1,0,0.011111111,0
9h2h,1,0,0.011111111,0
8h7h,2,2,0.022222222,0.022222222
8h6h,2,1,0.022222222,0.011111111
8h5h,1,0,0.011111111,0
8h4h,1,0,0.011111111,0
8h3h,1,0,0.011111111,0
8h2h,1,0,0.011111111,0
7h6h,2,1,0.022222222,0.011111111
7h5h,1,0,0.011111111,0
7h4h,1,0,0.011111111,0
7h3h,1,0,0.011111111,0
7h2h,1,0,0.011111111,0
6h5h,1,0,0.011111111,0
6h4h,1,0,0.011111111,0
6h3h,1,0,0.011111111,0
6h2h,1,0,0.011111111,0
5h4h,1,0,0.011111111,0
5h3h,1,0,0.011111111,0
5h2h,1,0,0.011111111,0
4h3h,1,0,0.011111111,0
4h2h,1,0,0.011111111,0
3h2h,1,0,0.011111111,0
