Program Duration,0.7027944783333333

Hand,P1 - F,P2 - F,P1 - S,P2 - S
Qs7h,67.0,5.0,1.0,0.07462686567164178
Qs6h,67.0,4.0,1.0,0.05970149253731343
Qs5h,67.0,3.0,1.0,0.04477611940298507
Qs4h,67.0,2.0,1.0,0.029850746268656716
Qs3h,5.0,2.0,0.07462686567164178,0.029850746268656716
Qs2h,2.0,1.0,0.029850746268656716,0.014925373134328358
JsTs,67.0,67.0,1.0,1.0
Js9s,67.0,67.0,1.0,1.0
Js8s,67.0,67.0,1.0,1.0
Js7s,67.0,9.0,1.0,0.13432835820895522
Js6s,67.0,4.0,1.0,0.05970149253731343
Js5s,67.0,3.0,1.0,0.04477611940298507
Js4s,67.0,2.0,1.0,0.029850746268656716
Js3s,67.0,2.0,1.0,0.029850746268656716
Js2s,67.0,1.0,1.0,0.014925373134328358
JsAc,67.0,67.0,1.0,1.0
JsKc,67.0,67.0,1.0,1.0
JsQc,67.0,67.0,1.0,1.0
JsJc,67.0,67.0,1.0,1.0
JsTc,67.0,67.0,1.0,1.0
Js9c,67.0,24.0,1.0,0.3582089552238806
Js8c,67.0,4.0,1.0,0.05970149253731343
Js7c,54.0,2.0,0.8059701492537313,0.029850746268656716
Js6c,2.0,1.0,0.029850746268656716,0.014925373134328358
Js5c,2.0,1.0,0.029850746268656716,0.014925373134328358
Js4c,1.0,1.0,0.014925373134328358,0.014925373134328358
Js3c,1.0,1.0,0.014925373134328358,0.014925373134328358
Js2c,1.0,1.0,0.014925373134328358,0.014925373134328358
JsAd,67.0,67.0,1.0,1.0
JsKd,67.0,67.0,1.0,1.0
JsQd,67.0,67.0,1.0,1.0
JsJd,67.0,67.0,1.0,1.0
JsTd,67.0,67.0,1.0,1.0
Js9d,67.0,24.0,1.0,0.3582089552238806
Js8d,67.0,4.0,1.0,0.05970149253731343
Js7d,54.0,2.0,0.8059701492537313,0.029850746268656716
Js6d,2.0,1.0,0.029850746268656716,0.014925373134328358
Js5d,2.0,1.0,0.029850746268656716,0.014925373134328358
Js4d,1.0,1.0,0.014925373134328358,0.014925373134328358
Js3d,1.0,1.0,0.014925373134328358,0.014925373134328358
Js2d,1.0,1.0,0.014925373134328358,0.014925373134328358
JsAh,67.0,67.0,1.0,1.0
JsKh,67.0,67.0,1.0,1.0
JsQh,67.0,67.0,1.0,1.0
JsJh,67.0,67.0,1.0,1.0
JsTh,67.0,67.0,1.0,1.0
Js9h,67.0,24.0,1.0,0.3582089552238806
Js8h,67.0,4.0,1.0,0.05970149253731343
Js7h,53.0,2.0,0.7910447761194029,0.029850746268656716
Js6h,2.0,1.0,0.029850746268656716,0.014925373134328358
Js5h,2.0,1.0,0.029850746268656716,0.014925373134328358
Js4h,1.0,1.0,0.014925373134328358,0.014925373134328358
Js3h,1.0,1.0,0.014925373134328358,0.014925373134328358
Js2h,1.0,1.0,0.014925373134328358,0.014925373134328358
Ts9s,67.0,67.0,1.0,1.0
Ts8s,67.0,36.0,1.0,0.5373134328358209
Ts7s,67.0,4.0,1.0,0.05970149253731343
Ts6s,67.0,2.0,1.0,0.029850746268656716
Ts5s,67.0,1.0,1.0,0.014925373134328358
Ts4s,67.0,1.0,1.0,0.014925373134328358
Ts3s,64.0,1.0,0.9552238805970149,0.014925373134328358
Ts2s,57.0,1.0,0.8507462686567164,0.014925373134328358
TsAc,67.0,67.0,1.0,1.0
TsKc,67.0,67.0,1.0,1.0
TsQc,67.0,67.0,1.0,1.0
TsJc,67.0,67.0,1.0,1.0
TsTc,67.0,67.0,1.0,1.0
Ts9c,67.0,4.0,1.0,0.05970149253731343
Ts8c,67.0,2.0,1.0,0.029850746268656716
Ts7c,37.0,1.0,0.5522388059701493,0.014925373134328358
Ts6c,1.0,1.0,0.014925373134328358,0.014925373134328358
Ts5c,1.0,1.0,0.014925373134328358,0.014925373134328358
Ts4c,1.0,1.0,0.014925373134328358,0.014925373134328358
Ts3c,1.0,1.0,0.014925373134328358,0.014925373134328358
Ts2c,1.0,1.0,0.014925373134328358,0.014925373134328358
TsAd,67.0,67.0,1.0,1.0
TsKd,67.0,67.0,1.0,1.0
TsQd,67.0,67.0,1.0,1.0
TsJd,67.0,67.0,1.0,1.0
TsTd,67.0,67.0,1.0,1.0
Ts9d,67.0,4.0,1.0,0.05970149253731343
Ts8d,67.0,2.0,1.0,0.029850746268656716
Ts7d,37.0,1.0,0.5522388059701493,0.014925373134328358
Ts6d,1.0,1.0,0.014925373134328358,0.014925373134328358
Ts5d,1.0,1.0,0.014925373134328358,0.014925373134328358
Ts4d,1.0,1.0,0.014925373134328358,0.014925373134328358
Ts3d,1.0,1.0,0.014925373134328358,0.014925373134328358
Ts2d,1.0,1.0,0.014925373134328358,0.014925373134328358
TsAh,67.0,67.0,1.0,1.0
TsKh,67.0,67.0,1.0,1.0
TsQh,67.0,67.0,1.0,1.0
TsJh,67.0,67.0,1.0,1.0
TsTh,67.0,67.0,1.0,1.0
Ts9h,67.0,4.0,1.0,0.05970149253731343
Ts8h,67.0,2.0,1.0,0.029850746268656716
Ts7h,37.0,1.0,0.5522388059701493,0.014925373134328358
Ts6h,1.0,1.0,0.014925373134328358,0.014925373134328358
Ts5h,1.0,1.0,0.014925373134328358,0.014925373134328358
Ts4h,1.0,1.0,0.014925373134328358,0.014925373134328358
Ts3h,1.0,1.0,0.014925373134328358,0.014925373134328358
Ts2h,1.0,1.0,0.014925373134328358,0.014925373134328358
9s8s,67.0,7.0,1.0,0.1044776119402985
9s7s,67.0,3.0,1.0,0.04477611940298507
9s6s,67.0,1.0,1.0,0.014925373134328358
9s5s,67.0,1.0,1.0,0.014925373134328358
9s4s,58.0,1.0,0.8656716417910447,0.014925373134328358
9s3s,55.0,1.0,0.8208955223880597,0.014925373134328358
9s2s,34.0,1.0,0.5074626865671642,0.014925373134328358
9sAc,67.0,67.0,1.0,1.0
9sKc,67.0,67.0,1.0,1.0
9sQc,67.0,67.0,1.0,1.0
9sJc,67.0,47.0,1.0,0.7014925373134329
9sTc,67.0,4.0,1.0,0.05970149253731343
9s9c,67.0,67.0,1.0,1.0
9s8c,67.0,1.0,1.0,0.014925373134328358
9s7c,36.0,1.0,0.5373134328358209,0.014925373134328358
9s6c,1.0,1.0,0.014925373134328358,0.014925373134328358
9s5c,1.0,1.0,0.014925373134328358,0.014925373134328358
9s4c,1.0,1.0,0.014925373134328358,0.014925373134328358
9s3c,1.0,1.0,0.014925373134328358,0.014925373134328358
9s2c,1.0,1.0,0.014925373134328358,0.014925373134328358
9sAd,67.0,67.0,1.0,1.0
9sKd,67.0,67.0,1.0,1.0
9sQd,67.0,67.0,1.0,1.0
9sJd,67.0,48.0,1.0,0.7164179104477612
9sTd,67.0,4.0,1.0,0.05970149253731343
9s9d,67.0,67.0,1.0,1.0
9s8d,67.0,1.0,1.0,0.014925373134328358
9s7d,36.0,1.0,0.5373134328358209,0.014925373134328358
9s6d,1.0,1.0,0.014925373134328358,0.014925373134328358
9s5d,1.0,1.0,0.014925373134328358,0.014925373134328358
