Program Duration,282.44055876666664,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,42338.0,42338.0,0.9999763811143391,0.9999763811143391
AsQs,42338.0,42338.0,0.9999763811143391,0.9999763811143391
AsJs,42338.0,42338.0,0.9999763811143391,0.9999763811143391
AsTs,42338.0,42338.0,0.9999763811143391,0.9999763811143391
As9s,42338.0,41.0,0.9999763811143391,9.683743120999551E-4
As8s,42338.0,24.0,0.9999763811143391,5.668532558633884E-4
As7s,42338.0,16.0,0.9999763811143391,3.779021705755922E-4
As6s,41674.0,12.0,0.9842934410354519,2.834266279316942E-4
As5s,42338.0,11.0,0.9999763811143391,2.598077422707197E-4
As4s,42259.0,9.0,0.9981104891471221,2.1256997094877065E-4
As3s,41631.0,8.0,0.9832778289520301,1.889510852877961E-4
As2s,13.0,7.0,3.070455135926687E-4,1.653321996268216E-4
AsAc,42338.0,42338.0,0.9999763811143391,0.9999763811143391
AsKc,42338.0,42338.0,0.9999763811143391,0.9999763811143391
AsQc,42338.0,42338.0,0.9999763811143391,0.9999763811143391
AsJc,42338.0,42338.0,0.9999763811143391,0.9999763811143391
AsTc,42338.0,24459.0,0.9999763811143391,0.5776943243817757
As9c,223.0,22.0,0.005267011502397317,5.196154845414394E-4
As8c,34.0,14.0,8.030421124731335E-4,3.306643992536432E-4
As7c,16.0,9.0,3.779021705755922E-4,2.1256997094877065E-4
As6c,9.0,7.0,2.1256997094877065E-4,1.653321996268216E-4
As5c,9.0,6.0,2.1256997094877065E-4,1.417133139658471E-4
As4c,7.0,5.0,1.653321996268216E-4,1.1809442830487258E-4
As3c,5.0,4.0,1.1809442830487258E-4,9.447554264389806E-5
As2c,4.0,4.0,9.447554264389806E-5,9.447554264389806E-5
AsAd,42338.0,42338.0,0.9999763811143391,0.9999763811143391
AsKd,42338.0,42338.0,0.9999763811143391,0.9999763811143391
AsQd,42338.0,42338.0,0.9999763811143391,0.9999763811143391
AsJd,42338.0,42338.0,0.9999763811143391,0.9999763811143391
AsTd,42338.0,24459.0,0.9999763811143391,0.5776943243817757
As9d,223.0,22.0,0.005267011502397317,5.196154845414394E-4
As8d,34.0,14.0,8.030421124731335E-4,3.306643992536432E-4
As7d,16.0,9.0,3.779021705755922E-4,2.1256997094877065E-4
As6d,9.0,7.0,2.1256997094877065E-4,1.653321996268216E-4
As5d,9.0,6.0,2.1256997094877065E-4,1.417133139658471E-4
As4d,7.0,5.0,1.653321996268216E-4,1.1809442830487258E-4
As3d,5.0,4.0,1.1809442830487258E-4,9.447554264389806E-5
As2d,4.0,4.0,9.447554264389806E-5,9.447554264389806E-5
AsAh,42338.0,42338.0,0.9999763811143391,0.9999763811143391
AsKh,42338.0,42338.0,0.9999763811143391,0.9999763811143391
