Program Duration,1918.41216495,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,39362.0,39362.0,1.0,1.0
AsQs,39362.0,39362.0,1.0,1.0
AsJs,39362.0,39362.0,1.0,1.0
AsTs,39362.0,39362.0,1.0,1.0
As9s,39362.0,39362.0,1.0,1.0
As8s,39362.0,39362.0,1.0,1.0
As7s,39362.0,39362.0,1.0,1.0
As6s,39362.0,39362.0,1.0,1.0
As5s,39362.0,39362.0,1.0,1.0
As4s,39362.0,39362.0,1.0,1.0
As3s,39362.0,39362.0,1.0,1.0
As2s,39362.0,39362.0,1.0,1.0
AsAc,39362.0,39362.0,1.0,1.0
AsKc,39362.0,39362.0,1.0,1.0
AsQc,39362.0,39362.0,1.0,1.0
AsJc,39362.0,39362.0,1.0,1.0
AsTc,39362.0,39362.0,1.0,1.0
As9c,39362.0,39362.0,1.0,1.0
As8c,39362.0,39362.0,1.0,1.0
As7c,39362.0,39362.0,1.0,1.0
As6c,39362.0,39362.0,1.0,1.0
As5c,39362.0,39362.0,1.0,1.0
As4c,39362.0,39362.0,1.0,1.0
As3c,39362.0,39362.0,1.0,1.0
As2c,39362.0,39362.0,1.0,1.0
AsAd,39362.0,39362.0,1.0,1.0
AsKd,39362.0,39362.0,1.0,1.0
AsQd,39362.0,39362.0,1.0,1.0
AsJd,39362.0,39362.0,1.0,1.0
AsTd,39362.0,39362.0,1.0,1.0
As9d,39362.0,39362.0,1.0,1.0
As8d,39362.0,39362.0,1.0,1.0
As7d,39362.0,39362.0,1.0,1.0
As6d,39362.0,39362.0,1.0,1.0
As5d,39362.0,39362.0,1.0,1.0
As4d,39362.0,39362.0,1.0,1.0
As3d,39362.0,39362.0,1.0,1.0
As2d,39362.0,39362.0,1.0,1.0
AsAh,39362.0,39362.0,1.0,1.0
AsKh,39362.0,39362.0,1.0,1.0
AsQh,39362.0,39362.0,1.0,1.0
AsJh,39362.0,39362.0,1.0,1.0
AsTh,39362.0,39362.0,1.0,1.0
As9h,39362.0,39362.0,1.0,1.0
As8h,39362.0,39362.0,1.0,1.0
As7h,39362.0,39362.0,1.0,1.0
As6h,39362.0,39362.0,1.0,1.0
As5h,39362.0,39362.0,1.0,1.0
As4h,39362.0,39362.0,1.0,1.0
As3h,39362.0,39362.0,1.0,1.0
As2h,39362.0,39362.0,1.0,1.0
KsQs,39362.0,39362.0,1.0,1.0
KsJs,39362.0,39362.0,1.0,1.0
KsTs,39362.0,39362.0,1.0,1.0
Ks9s,39362.0,39362.0,1.0,1.0
Ks8s,39362.0,39362.0,1.0,1.0
Ks7s,39362.0,39362.0,1.0,1.0
Ks6s,39362.0,39362.0,1.0,1.0
Ks5s,39362.0,39362.0,1.0,1.0
Ks4s,39362.0,39362.0,1.0,1.0
Ks3s,39362.0,39362.0,1.0,1.0
Ks2s,39362.0,39362.0,1.0,1.0
KsAc,39362.0,39362.0,1.0,1.0
KsKc,39362.0,39362.0,1.0,1.0
KsQc,39362.0,39362.0,1.0,1.0
KsJc,39362.0,39362.0,1.0,1.0
KsTc,39362.0,39362.0,1.0,1.0
Ks9c,39362.0,39362.0,1.0,1.0
Ks8c,39362.0,39362.0,1.0,1.0
Ks7c,39362.0,39362.0,1.0,1.0
Ks6c,39362.0,39362.0,1.0,1.0
Ks5c,39362.0,39330.0,1.0,0.9991870331792084
Ks4c,39362.0,7.0,1.0,1.7783649204816828E-4
Ks3c,39362.0,5.0,1.0,1.2702606574869162E-4
Ks2c,39362.0,4.0,1.0,1.016208525989533E-4
KsAd,39362.0,39362.0,1.0,1.0
KsKd,39362.0,39362.0,1.0,1.0
KsQd,39362.0,39362.0,1.0,1.0
KsJd,39362.0,39362.0,1.0,1.0
KsTd,39362.0,39362.0,1.0,1.0
Ks9d,39362.0,39362.0,1.0,1.0
Ks8d,39362.0,39362.0,1.0,1.0
Ks7d,39362.0,39362.0,1.0,1.0
Ks6d,39362.0,39362.0,1.0,1.0
Ks5d,39362.0,39330.0,1.0,0.9991870331792084
Ks4d,39362.0,7.0,1.0,1.7783649204816828E-4
Ks3d,39362.0,5.0,1.0,1.2702606574869162E-4
Ks2d,39362.0,4.0,1.0,1.016208525989533E-4
KsAh,39362.0,39362.0,1.0,1.0
KsKh,39362.0,39362.0,1.0,1.0
KsQh,39362.0,39362.0,1.0,1.0
KsJh,39362.0,39362.0,1.0,1.0
KsTh,39362.0,39362.0,1.0,1.0
Ks9h,39362.0,39362.0,1.0,1.0
Ks8h,39362.0,39362.0,1.0,1.0
Ks7h,39362.0,39362.0,1.0,1.0
Ks6h,39362.0,39362.0,1.0,1.0
Ks5h,39362.0,39330.0,1.0,0.9991870331792084
Ks4h,39362.0,7.0,1.0,1.7783649204816828E-4
Ks3h,39362.0,5.0,1.0,1.2702606574869162E-4
Ks2h,39362.0,4.0,1.0,1.016208525989533E-4
QsJs,39362.0,39362.0,1.0,1.0
QsTs,39362.0,39362.0,1.0,1.0
Qs9s,39362.0,39362.0,1.0,1.0
Qs8s,39362.0,39362.0,1.0,1.0
Qs7s,39362.0,39329.0,1.0,0.9991616279660587
Qs6s,39362.0,15493.0,1.0,0.3936029673288959
Qs5s,39362.0,5.0,1.0,1.2702606574869162E-4
Qs4s,39362.0,4.0,1.0,1.016208525989533E-4
Qs3s,39362.0,3.0,1.0,7.621563944921497E-5
Qs2s,39362.0,3.0,1.0,7.621563944921497E-5
QsAc,39362.0,39362.0,1.0,1.0
QsKc,39362.0,39362.0,1.0,1.0
QsQc,39362.0,39362.0,1.0,1.0
QsJc,39362.0,39362.0,1.0,1.0
QsTc,39362.0,39362.0,1.0,1.0
Qs9c,39362.0,39362.0,1.0,1.0
Qs8c,39362.0,28.0,1.0,7.113459681926731E-4
Qs7c,39362.0,4.0,1.0,1.016208525989533E-4
Qs6c,147.0,3.0,0.003734566333011534,7.621563944921497E-5
Qs5c,4.0,2.0,1.016208525989533E-4,5.081042629947665E-5
Qs4c,3.0,2.0,7.621563944921497E-5,5.081042629947665E-5
Qs3c,2.0,1.0,5.081042629947665E-5,2.5405213149738326E-5
Qs2c,1.0,1.0,2.5405213149738326E-5,2.5405213149738326E-5
QsAd,39362.0,39362.0,1.0,1.0
QsKd,39362.0,39362.0,1.0,1.0
QsQd,39362.0,39362.0,1.0,1.0
QsJd,39362.0,39362.0,1.0,1.0
QsTd,39362.0,39362.0,1.0,1.0
Qs9d,39362.0,39362.0,1.0,1.0
Qs8d,39362.0,28.0,1.0,7.113459681926731E-4
Qs7d,39362.0,4.0,1.0,1.016208525989533E-4
Qs6d,147.0,3.0,0.003734566333011534,7.621563944921497E-5
Qs5d,4.0,2.0,1.016208525989533E-4,5.081042629947665E-5
Qs4d,3.0,2.0,7.621563944921497E-5,5.081042629947665E-5
Qs3d,2.0,1.0,5.081042629947665E-5,2.5405213149738326E-5
Qs2d,1.0,1.0,2.5405213149738326E-5,2.5405213149738326E-5
QsAh,39362.0,39362.0,1.0,1.0
QsKh,39362.0,39362.0,1.0,1.0
QsQh,39362.0,39362.0,1.0,1.0
QsJh,39362.0,39362.0,1.0,1.0
QsTh,39362.0,39362.0,1.0,1.0
Qs9h,39362.0,39362.0,1.0,1.0
