Program Duration,1732.8838785,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,23984.0,23984.0,1.0,1.0
AsQs,23984.0,23984.0,1.0,1.0
AsJs,23984.0,23984.0,1.0,1.0
AsTs,23984.0,23984.0,1.0,1.0
As9s,23984.0,23984.0,1.0,1.0
As8s,23984.0,23984.0,1.0,1.0
As7s,23984.0,23984.0,1.0,1.0
As6s,23984.0,23984.0,1.0,1.0
As5s,23984.0,23984.0,1.0,1.0
As4s,23984.0,23984.0,1.0,1.0
As3s,23984.0,23984.0,1.0,1.0
As2s,23984.0,23984.0,1.0,1.0
AsAc,23984.0,23984.0,1.0,1.0
AsKc,23984.0,23984.0,1.0,1.0
AsQc,23984.0,23984.0,1.0,1.0
AsJc,23984.0,23984.0,1.0,1.0
AsTc,23984.0,23984.0,1.0,1.0
As9c,23984.0,23984.0,1.0,1.0
As8c,23984.0,23984.0,1.0,1.0
As7c,23984.0,23984.0,1.0,1.0
As6c,23984.0,23984.0,1.0,1.0
As5c,23984.0,23984.0,1.0,1.0
As4c,23984.0,23984.0,1.0,1.0
As3c,23984.0,23984.0,1.0,1.0
As2c,23984.0,23984.0,1.0,1.0
AsAd,23984.0,23984.0,1.0,1.0
AsKd,23984.0,23984.0,1.0,1.0
AsQd,23984.0,23984.0,1.0,1.0
AsJd,23984.0,23984.0,1.0,1.0
AsTd,23984.0,23984.0,1.0,1.0
As9d,23984.0,23984.0,1.0,1.0
As8d,23984.0,23984.0,1.0,1.0
As7d,23984.0,23984.0,1.0,1.0
As6d,23984.0,23984.0,1.0,1.0
As5d,23984.0,23984.0,1.0,1.0
As4d,23984.0,23984.0,1.0,1.0
As3d,23984.0,23984.0,1.0,1.0
As2d,23984.0,23984.0,1.0,1.0
AsAh,23984.0,23984.0,1.0,1.0
AsKh,23984.0,23984.0,1.0,1.0
AsQh,23984.0,23984.0,1.0,1.0
AsJh,23984.0,23984.0,1.0,1.0
AsTh,23984.0,23984.0,1.0,1.0
As9h,23984.0,23984.0,1.0,1.0
As8h,23984.0,23984.0,1.0,1.0
As7h,23984.0,23984.0,1.0,1.0
As6h,23984.0,23984.0,1.0,1.0
As5h,23984.0,23984.0,1.0,1.0
As4h,23984.0,23984.0,1.0,1.0
As3h,23984.0,23984.0,1.0,1.0
As2h,23984.0,23984.0,1.0,1.0
KsQs,23984.0,23984.0,1.0,1.0
KsJs,23984.0,23984.0,1.0,1.0
KsTs,23984.0,23984.0,1.0,1.0
Ks9s,23984.0,23984.0,1.0,1.0
Ks8s,23984.0,23984.0,1.0,1.0
Ks7s,23984.0,23984.0,1.0,1.0
Ks6s,23984.0,23984.0,1.0,1.0
Ks5s,23984.0,23984.0,1.0,1.0
