Program Duration,4609.730395524984,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
Ks2h,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
QsJs,134674.0,11.0,1.0,8.167872046571721E-5
QsTs,134674.0,8.0,1.0,5.940270579324888E-5
Qs9s,134538.0,5.0,0.9989901540015148,3.712669112078055E-5
Qs8s,133033.0,3.0,0.9878150199741598,2.227601467246833E-5
Qs7s,3.0,2.0,2.227601467246833E-5,1.485067644831222E-5
Qs6s,3.0,2.0,2.227601467246833E-5,1.485067644831222E-5
Qs5s,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Qs4s,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Qs3s,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Qs2s,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
QsAc,134674.0,134674.0,1.0,1.0
QsKc,134674.0,20.0,1.0,1.485067644831222E-4
QsQc,134674.0,134674.0,1.0,1.0
QsJc,134493.0,6.0,0.9986560137814278,4.455202934493666E-5
QsTc,122.0,5.0,9.058912633470455E-4,3.712669112078055E-5
Qs9c,4.0,3.0,2.970135289662444E-5,2.227601467246833E-5
Qs8c,3.0,2.0,2.227601467246833E-5,1.485067644831222E-5
Qs7c,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Qs6c,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Qs5c,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Qs4c,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Qs3c,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Qs2c,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
QsAd,134674.0,134674.0,1.0,1.0
QsKd,134674.0,20.0,1.0,1.485067644831222E-4
QsQd,134674.0,134674.0,1.0,1.0
QsJd,134493.0,6.0,0.9986560137814278,4.455202934493666E-5
QsTd,122.0,5.0,9.058912633470455E-4,3.712669112078055E-5
Qs9d,4.0,3.0,2.970135289662444E-5,2.227601467246833E-5
Qs8d,3.0,2.0,2.227601467246833E-5,1.485067644831222E-5
Qs7d,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Qs6d,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Qs5d,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Qs4d,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Qs3d,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Qs2d,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
QsAh,134674.0,134674.0,1.0,1.0
QsKh,134674.0,20.0,1.0,1.485067644831222E-4
QsQh,134674.0,134674.0,1.0,1.0
QsJh,134493.0,6.0,0.9986560137814278,4.455202934493666E-5
QsTh,122.0,5.0,9.058912633470455E-4,3.712669112078055E-5
Qs9h,4.0,3.0,2.970135289662444E-5,2.227601467246833E-5
Qs8h,3.0,2.0,2.227601467246833E-5,1.485067644831222E-5
Qs7h,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Qs6h,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Qs5h,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Qs4h,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Qs3h,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Qs2h,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
JsTs,134645.0,5.0,0.9997846651914994,3.712669112078055E-5
Js9s,134527.0,3.0,0.9989084752810491,2.227601467246833E-5
Js8s,3.0,2.0,2.227601467246833E-5,1.485067644831222E-5
Js7s,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Js6s,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Js5s,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Js4s,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Js3s,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Js2s,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
JsAc,134674.0,134674.0,1.0,1.0
JsKc,134674.0,13.0,1.0,9.652939691402943E-5
JsQc,134493.0,6.0,0.9986560137814278,4.455202934493666E-5
JsJc,134674.0,134674.0,1.0,1.0
JsTc,4.0,3.0,2.970135289662444E-5,2.227601467246833E-5
Js9c,3.0,2.0,2.227601467246833E-5,1.485067644831222E-5
Js8c,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Js7c,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Js6c,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Js5c,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Js4c,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Js3c,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Js2c,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
JsAd,134674.0,134674.0,1.0,1.0
JsKd,134674.0,13.0,1.0,9.652939691402943E-5
JsQd,134493.0,6.0,0.9986560137814278,4.455202934493666E-5
JsJd,134674.0,134674.0,1.0,1.0
JsTd,4.0,3.0,2.970135289662444E-5,2.227601467246833E-5
Js9d,3.0,2.0,2.227601467246833E-5,1.485067644831222E-5
Js8d,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Js7d,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Js6d,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Js5d,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Js4d,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Js3d,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Js2d,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
JsAh,134674.0,134674.0,1.0,1.0
JsKh,134674.0,13.0,1.0,9.652939691402943E-5
JsQh,134493.0,6.0,0.9986560137814278,4.455202934493666E-5
JsJh,134674.0,134674.0,1.0,1.0
JsTh,4.0,3.0,2.970135289662444E-5,2.227601467246833E-5
Js9h,3.0,2.0,2.227601467246833E-5,1.485067644831222E-5
Js8h,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Js7h,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Js6h,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Js5h,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Js4h,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Js3h,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Js2h,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Ts9s,134533.0,2.0,0.998953027310394,1.485067644831222E-5
Ts8s,133942.0,1.0,0.9945646524199178,7.42533822415611E-6
Ts7s,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Ts6s,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Ts5s,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Ts4s,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Ts3s,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Ts2s,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
TsAc,134674.0,77439.0,1.0,0.5750107667404251
TsKc,56121.0,9.0,0.4167174064778651,6.682804401740499E-5
TsQc,122.0,5.0,9.058912633470455E-4,3.712669112078055E-5
TsJc,4.0,3.0,2.970135289662444E-5,2.227601467246833E-5
TsTc,134674.0,134674.0,1.0,1.0
Ts9c,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Ts8c,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Ts7c,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Ts6c,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Ts5c,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Ts4c,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Ts3c,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Ts2c,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
TsAd,134674.0,77439.0,1.0,0.5750107667404251
TsKd,56121.0,9.0,0.4167174064778651,6.682804401740499E-5
TsQd,122.0,5.0,9.058912633470455E-4,3.712669112078055E-5
TsJd,4.0,3.0,2.970135289662444E-5,2.227601467246833E-5
TsTd,134674.0,134674.0,1.0,1.0
Ts9d,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Ts8d,2.0,1.0,1.485067644831222E-5,7.42533822415611E-6
Ts7d,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Ts6d,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Ts5d,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Ts4d,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Ts3d,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
Ts2d,1.0,1.0,7.42533822415611E-6,7.42533822415611E-6
