Program Duration,2963.0017073733334,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,144521.0,143937.0,1.0,0.9959590647725935
AsQs,144521.0,181.0,1.0,0.0012524131441105444
AsJs,13890.0,82.0,0.09611059984362134,5.673915901495284E-4
AsTs,107131.0,48.0,0.7412832737110869,3.3213166252655325E-4
As9s,33.0,28.0,2.2834051798700534E-4,1.9374346980715606E-4
As8s,24.0,21.0,1.6606583126327663E-4,1.4530760235536704E-4
As7s,17.0,16.0,1.176299638114876E-4,1.1071055417551775E-4
As6s,13.0,12.0,8.995232526760817E-5,8.303291563163831E-5
As5s,138194.0,12.0,0.9562208952332187,8.303291563163831E-5
As4s,133911.0,10.0,0.9265850637623598,6.91940963596986E-5
As3s,32257.0,9.0,0.22319939662747976,6.227468672372872E-5
As2s,8.0,8.0,5.5355277087758873E-5,5.5355277087758873E-5
AsAc,144521.0,144521.0,1.0,1.0
AsKc,144521.0,78474.0,1.0,0.5429937517730987
AsQc,3805.0,121.0,0.026328353664865314,8.37248565952353E-4
AsJc,77.0,56.0,5.327945419696792E-4,3.874869396143121E-4
AsTc,40.0,34.0,2.767763854387944E-4,2.352599276229752E-4
As9c,22.0,19.0,1.522270119913369E-4,1.3146878308342732E-4
As8c,15.0,14.0,1.0379114453954789E-4,9.687173490357803E-5
As7c,11.0,10.0,7.611350599566846E-5,6.91940963596986E-5
As6c,8.0,7.0,5.5355277087758873E-5,4.8435867451789015E-5
As5c,8.0,7.0,5.5355277087758873E-5,4.8435867451789015E-5
As4c,6.0,6.0,4.151645781581916E-5,4.151645781581916E-5
As3c,5.0,5.0,3.45970481798493E-5,3.45970481798493E-5
As2c,5.0,4.0,3.45970481798493E-5,2.7677638543879437E-5
AsAd,144521.0,144521.0,1.0,1.0
AsKd,144521.0,78474.0,1.0,0.5429937517730987
AsQd,3805.0,121.0,0.026328353664865314,8.37248565952353E-4
AsJd,77.0,56.0,5.327945419696792E-4,3.874869396143121E-4
AsTd,40.0,34.0,2.767763854387944E-4,2.352599276229752E-4
As9d,22.0,19.0,1.522270119913369E-4,1.3146878308342732E-4
As8d,15.0,14.0,1.0379114453954789E-4,9.687173490357803E-5
As7d,11.0,10.0,7.611350599566846E-5,6.91940963596986E-5
As6d,8.0,7.0,5.5355277087758873E-5,4.8435867451789015E-5
As5d,8.0,7.0,5.5355277087758873E-5,4.8435867451789015E-5
As4d,6.0,6.0,4.151645781581916E-5,4.151645781581916E-5
As3d,5.0,5.0,3.45970481798493E-5,3.45970481798493E-5
As2d,5.0,4.0,3.45970481798493E-5,2.7677638543879437E-5
AsAh,144521.0,144521.0,1.0,1.0
AsKh,144521.0,78474.0,1.0,0.5429937517730987
AsQh,3805.0,121.0,0.026328353664865314,8.37248565952353E-4
AsJh,77.0,56.0,5.327945419696792E-4,3.874869396143121E-4
AsTh,40.0,34.0,2.767763854387944E-4,2.352599276229752E-4
As9h,22.0,19.0,1.522270119913369E-4,1.3146878308342732E-4
As8h,15.0,14.0,1.0379114453954789E-4,9.687173490357803E-5
As7h,11.0,10.0,7.611350599566846E-5,6.91940963596986E-5
As6h,8.0,7.0,5.5355277087758873E-5,4.8435867451789015E-5
As5h,8.0,7.0,5.5355277087758873E-5,4.8435867451789015E-5
As4h,6.0,6.0,4.151645781581916E-5,4.151645781581916E-5
As3h,5.0,5.0,3.45970481798493E-5,3.45970481798493E-5
As2h,5.0,4.0,3.45970481798493E-5,2.7677638543879437E-5
KsQs,242.0,25.0,0.001674497131904706,1.7298524089924647E-4
KsJs,18.0,16.0,1.2454937344745745E-4,1.1071055417551775E-4
KsTs,13.0,12.0,8.995232526760817E-5,8.303291563163831E-5
Ks9s,7.0,7.0,4.8435867451789015E-5,4.8435867451789015E-5
Ks8s,5.0,5.0,3.45970481798493E-5,3.45970481798493E-5
Ks7s,5.0,4.0,3.45970481798493E-5,2.7677638543879437E-5
Ks6s,4.0,3.0,2.7677638543879437E-5,2.075822890790958E-5
Ks5s,4.0,3.0,2.7677638543879437E-5,2.075822890790958E-5
Ks4s,3.0,2.0,2.075822890790958E-5,1.3838819271939718E-5
Ks3s,3.0,2.0,2.075822890790958E-5,1.3838819271939718E-5
Ks2s,2.0,2.0,1.3838819271939718E-5,1.3838819271939718E-5
KsAc,144521.0,78474.0,1.0,0.5429937517730987
KsKc,144521.0,144521.0,1.0,1.0
KsQc,16.0,14.0,1.1071055417551775E-4,9.687173490357803E-5
KsJc,10.0,10.0,6.91940963596986E-5,6.91940963596986E-5
KsTc,8.0,7.0,5.5355277087758873E-5,4.8435867451789015E-5
Ks9c,5.0,5.0,3.45970481798493E-5,3.45970481798493E-5
Ks8c,4.0,3.0,2.7677638543879437E-5,2.075822890790958E-5
Ks7c,3.0,2.0,2.075822890790958E-5,1.3838819271939718E-5
Ks6c,3.0,2.0,2.075822890790958E-5,1.3838819271939718E-5
Ks5c,2.0,2.0,1.3838819271939718E-5,1.3838819271939718E-5
Ks4c,2.0,1.0,1.3838819271939718E-5,6.919409635969859E-6
Ks3c,2.0,1.0,1.3838819271939718E-5,6.919409635969859E-6
Ks2c,2.0,1.0,1.3838819271939718E-5,6.919409635969859E-6
KsAd,144521.0,78474.0,1.0,0.5429937517730987
KsKd,144521.0,144521.0,1.0,1.0
KsQd,16.0,14.0,1.1071055417551775E-4,9.687173490357803E-5
KsJd,10.0,10.0,6.91940963596986E-5,6.91940963596986E-5
KsTd,8.0,7.0,5.5355277087758873E-5,4.8435867451789015E-5
Ks9d,5.0,5.0,3.45970481798493E-5,3.45970481798493E-5
Ks8d,4.0,3.0,2.7677638543879437E-5,2.075822890790958E-5
Ks7d,3.0,2.0,2.075822890790958E-5,1.3838819271939718E-5
Ks6d,3.0,2.0,2.075822890790958E-5,1.3838819271939718E-5
Ks5d,2.0,2.0,1.3838819271939718E-5,1.3838819271939718E-5
Ks4d,2.0,1.0,1.3838819271939718E-5,6.919409635969859E-6
Ks3d,2.0,1.0,1.3838819271939718E-5,6.919409635969859E-6
Ks2d,2.0,1.0,1.3838819271939718E-5,6.919409635969859E-6
KsAh,144521.0,78474.0,1.0,0.5429937517730987
KsKh,144521.0,144521.0,1.0,1.0
KsQh,16.0,14.0,1.1071055417551775E-4,9.687173490357803E-5
KsJh,10.0,10.0,6.91940963596986E-5,6.91940963596986E-5
KsTh,8.0,7.0,5.5355277087758873E-5,4.8435867451789015E-5
Ks9h,5.0,5.0,3.45970481798493E-5,3.45970481798493E-5
Ks8h,4.0,3.0,2.7677638543879437E-5,2.075822890790958E-5
Ks7h,3.0,2.0,2.075822890790958E-5,1.3838819271939718E-5
Ks6h,3.0,2.0,2.075822890790958E-5,1.3838819271939718E-5
Ks5h,2.0,2.0,1.3838819271939718E-5,1.3838819271939718E-5
Ks4h,2.0,1.0,1.3838819271939718E-5,6.919409635969859E-6
Ks3h,2.0,1.0,1.3838819271939718E-5,6.919409635969859E-6
Ks2h,2.0,1.0,1.3838819271939718E-5,6.919409635969859E-6
QsJs,9.0,8.0,6.227468672372872E-5,5.5355277087758873E-5
QsTs,7.0,6.0,4.8435867451789015E-5,4.151645781581916E-5
Qs9s,4.0,4.0,2.7677638543879437E-5,2.7677638543879437E-5
Qs8s,3.0,3.0,2.075822890790958E-5,2.075822890790958E-5
Qs7s,3.0,2.0,2.075822890790958E-5,1.3838819271939718E-5
Qs6s,2.0,1.0,1.3838819271939718E-5,6.919409635969859E-6
Qs5s,2.0,1.0,1.3838819271939718E-5,6.919409635969859E-6
Qs4s,2.0,1.0,1.3838819271939718E-5,6.919409635969859E-6
Qs3s,2.0,1.0,1.3838819271939718E-5,6.919409635969859E-6
Qs2s,2.0,1.0,1.3838819271939718E-5,6.919409635969859E-6
