Program Duration,126.08054651166667,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,558.0,306.0,0.03146320834508035,0.01725401747956019
AsQs,87.0,76.0,0.004905553989286721,0.004285311530871159
AsJs,40.0,37.0,0.002255427121511136,0.002086270087397801
AsTs,24.0,23.0,0.0013532562729066818,0.0012968705948689034
As9s,14.0,14.0,7.893994925288976E-4,7.893994925288976E-4
As8s,10.0,11.0,5.63856780377784E-4,6.202424584155625E-4
As7s,7.0,9.0,3.946997462644488E-4,5.074711023400056E-4
As6s,5.0,7.0,2.81928390188892E-4,3.946997462644488E-4
As5s,5.0,7.0,2.81928390188892E-4,3.946997462644488E-4
As4s,4.0,6.0,2.2554271215111362E-4,3.3831406822667045E-4
As3s,3.0,5.0,1.6915703411333522E-4,2.81928390188892E-4
As2s,3.0,5.0,1.6915703411333522E-4,2.81928390188892E-4
AsAc,17734.0,17734.0,0.9999436143219622,0.9999436143219622
AsKc,256.0,182.0,0.014434733577671272,0.01026219340287567
AsQc,57.0,52.0,0.003213983648153369,0.002932055257964477
AsJc,27.0,26.0,0.0015224133070200169,0.0014660276289822384
AsTc,16.0,16.0,9.021708486044545E-4,9.021708486044545E-4
As9c,9.0,10.0,5.074711023400056E-4,5.63856780377784E-4
As8c,6.0,7.0,3.3831406822667045E-4,3.946997462644488E-4
As7c,4.0,6.0,2.2554271215111362E-4,3.3831406822667045E-4
As6c,3.0,4.0,1.6915703411333522E-4,2.2554271215111362E-4
As5c,3.0,4.0,1.6915703411333522E-4,2.2554271215111362E-4
As4c,2.0,4.0,1.1277135607555681E-4,2.2554271215111362E-4
As3c,1.0,3.0,5.6385678037778406E-5,1.6915703411333522E-4
As2c,1.0,3.0,5.6385678037778406E-5,1.6915703411333522E-4
AsAd,17734.0,17734.0,0.9999436143219622,0.9999436143219622
AsKd,256.0,182.0,0.014434733577671272,0.01026219340287567
AsQd,57.0,52.0,0.003213983648153369,0.002932055257964477
AsJd,27.0,26.0,0.0015224133070200169,0.0014660276289822384
AsTd,16.0,16.0,9.021708486044545E-4,9.021708486044545E-4
As9d,9.0,10.0,5.074711023400056E-4,5.63856780377784E-4
As8d,6.0,7.0,3.3831406822667045E-4,3.946997462644488E-4
As7d,4.0,6.0,2.2554271215111362E-4,3.3831406822667045E-4
As6d,3.0,4.0,1.6915703411333522E-4,2.2554271215111362E-4
As5d,3.0,4.0,1.6915703411333522E-4,2.2554271215111362E-4
As4d,2.0,4.0,1.1277135607555681E-4,2.2554271215111362E-4
As3d,1.0,3.0,5.6385678037778406E-5,1.6915703411333522E-4
As2d,1.0,3.0,5.6385678037778406E-5,1.6915703411333522E-4
AsAh,17734.0,17734.0,0.9999436143219622,0.9999436143219622
AsKh,256.0,182.0,0.014434733577671272,0.01026219340287567
AsQh,57.0,52.0,0.003213983648153369,0.002932055257964477
AsJh,27.0,26.0,0.0015224133070200169,0.0014660276289822384
