Program Duration,28.429846433333335,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,3608.0,3608.0,1.0,1.0
AsQs,3608.0,3608.0,1.0,1.0
AsJs,3608.0,3608.0,1.0,1.0
AsTs,3608.0,3608.0,1.0,1.0
As9s,3608.0,3608.0,1.0,1.0
As8s,3608.0,3608.0,1.0,1.0
As7s,3608.0,3608.0,1.0,1.0
As6s,3608.0,3608.0,1.0,1.0
As5s,3608.0,3608.0,1.0,1.0
As4s,3608.0,3608.0,1.0,1.0
As3s,3608.0,3608.0,1.0,1.0
As2s,3608.0,3608.0,1.0,1.0
AsAc,3608.0,3608.0,1.0,1.0
AsKc,3608.0,3608.0,1.0,1.0
AsQc,3608.0,3608.0,1.0,1.0
AsJc,3608.0,3608.0,1.0,1.0
AsTc,3608.0,3608.0,1.0,1.0
As9c,3608.0,3608.0,1.0,1.0
As8c,3608.0,3608.0,1.0,1.0
As7c,3608.0,3608.0,1.0,1.0
As6c,3608.0,3608.0,1.0,1.0
As5c,3608.0,3608.0,1.0,1.0
As4c,3608.0,3608.0,1.0,1.0
As3c,3608.0,3608.0,1.0,1.0
As2c,3608.0,3608.0,1.0,1.0
AsAd,3608.0,3608.0,1.0,1.0
AsKd,3608.0,3608.0,1.0,1.0
AsQd,3608.0,3608.0,1.0,1.0
AsJd,3608.0,3608.0,1.0,1.0
AsTd,3608.0,3608.0,1.0,1.0
As9d,3608.0,3608.0,1.0,1.0
As8d,3608.0,3608.0,1.0,1.0
As7d,3608.0,3608.0,1.0,1.0
As6d,3608.0,3608.0,1.0,1.0
As5d,3608.0,3608.0,1.0,1.0
As4d,3608.0,3608.0,1.0,1.0
As3d,3608.0,3608.0,1.0,1.0
As2d,3608.0,3608.0,1.0,1.0
AsAh,3608.0,3608.0,1.0,1.0
AsKh,3608.0,3608.0,1.0,1.0
AsQh,3608.0,3608.0,1.0,1.0
AsJh,3608.0,3608.0,1.0,1.0
AsTh,3608.0,3608.0,1.0,1.0
As9h,3608.0,3608.0,1.0,1.0
As8h,3608.0,3608.0,1.0,1.0
As7h,3608.0,3608.0,1.0,1.0
As6h,3608.0,3608.0,1.0,1.0
As5h,3608.0,3608.0,1.0,1.0
As4h,3608.0,3608.0,1.0,1.0
As3h,3608.0,3608.0,1.0,1.0
As2h,3608.0,3608.0,1.0,1.0
KsQs,3608.0,3608.0,1.0,1.0
KsJs,3608.0,3608.0,1.0,1.0
KsTs,3608.0,3608.0,1.0,1.0
Ks9s,3608.0,3608.0,1.0,1.0
Ks8s,3608.0,3608.0,1.0,1.0
Ks7s,3608.0,3608.0,1.0,1.0
Ks6s,3608.0,3608.0,1.0,1.0
Ks5s,3608.0,3608.0,1.0,1.0
Ks4s,3608.0,3608.0,1.0,1.0
Ks3s,3608.0,3608.0,1.0,1.0
Ks2s,3608.0,3608.0,1.0,1.0
KsAc,3608.0,3608.0,1.0,1.0
KsKc,3608.0,3608.0,1.0,1.0
KsQc,3608.0,3608.0,1.0,1.0
KsJc,3608.0,3608.0,1.0,1.0
KsTc,3608.0,3608.0,1.0,1.0
Ks9c,3608.0,3608.0,1.0,1.0
Ks8c,3608.0,3608.0,1.0,1.0
Ks7c,3608.0,3608.0,1.0,1.0
Ks6c,3608.0,3608.0,1.0,1.0
Ks5c,3608.0,3608.0,1.0,1.0
Ks4c,3608.0,3608.0,1.0,1.0
Ks3c,3608.0,3608.0,1.0,1.0
Ks2c,3608.0,3608.0,1.0,1.0
KsAd,3608.0,3608.0,1.0,1.0
KsKd,3608.0,3608.0,1.0,1.0
