Program Duration,246.72599971166667,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,7044.0,7044.0,1.0,1.0
AsQs,7044.0,7044.0,1.0,1.0
AsJs,7044.0,7044.0,1.0,1.0
AsTs,7044.0,7044.0,1.0,1.0
As9s,7044.0,7044.0,1.0,1.0
As8s,7044.0,7044.0,1.0,1.0
As7s,7044.0,7044.0,1.0,1.0
As6s,7044.0,7044.0,1.0,1.0
As5s,7044.0,7044.0,1.0,1.0
As4s,7044.0,7044.0,1.0,1.0
As3s,7044.0,7044.0,1.0,1.0
As2s,7044.0,7044.0,1.0,1.0
AsAc,7044.0,7044.0,1.0,1.0
AsKc,7044.0,7044.0,1.0,1.0
AsQc,7044.0,7044.0,1.0,1.0
AsJc,7044.0,7044.0,1.0,1.0
AsTc,7044.0,7044.0,1.0,1.0
As9c,7044.0,7044.0,1.0,1.0
As8c,7044.0,7044.0,1.0,1.0
As7c,7044.0,7044.0,1.0,1.0
As6c,7044.0,7032.0,1.0,0.9982964224872232
As5c,7044.0,6974.0,1.0,0.9900624645088019
As4c,7044.0,20.0,1.0,0.0028392958546280523
As3c,7044.0,15.0,1.0,0.002129471890971039
As2c,7044.0,11.0,1.0,0.0015616127200454286
AsAd,7044.0,7044.0,1.0,1.0
AsKd,7044.0,7044.0,1.0,1.0
AsQd,7044.0,7044.0,1.0,1.0
AsJd,7044.0,7044.0,1.0,1.0
AsTd,7044.0,7044.0,1.0,1.0
As9d,7044.0,7044.0,1.0,1.0
As8d,7044.0,7044.0,1.0,1.0
As7d,7044.0,7044.0,1.0,1.0
As6d,7044.0,7032.0,1.0,0.9982964224872232
As5d,7044.0,6974.0,1.0,0.9900624645088019
As4d,7044.0,20.0,1.0,0.0028392958546280523
As3d,7044.0,15.0,1.0,0.002129471890971039
As2d,7044.0,11.0,1.0,0.0015616127200454286
AsAh,7044.0,7044.0,1.0,1.0
AsKh,7044.0,7044.0,1.0,1.0
AsQh,7044.0,7044.0,1.0,1.0
AsJh,7044.0,7044.0,1.0,1.0
AsTh,7044.0,7044.0,1.0,1.0
As9h,7044.0,7044.0,1.0,1.0
As8h,7044.0,7044.0,1.0,1.0
As7h,7044.0,7044.0,1.0,1.0
As6h,7044.0,7032.0,1.0,0.9982964224872232
As5h,7044.0,6974.0,1.0,0.9900624645088019
As4h,7044.0,20.0,1.0,0.0028392958546280523
As3h,7044.0,15.0,1.0,0.002129471890971039
As2h,7044.0,11.0,1.0,0.0015616127200454286
KsQs,7044.0,7044.0,1.0,1.0
KsJs,7044.0,7044.0,1.0,1.0
KsTs,7044.0,7044.0,1.0,1.0
Ks9s,7044.0,6999.0,1.0,0.9936115843270868
Ks8s,7044.0,13.0,1.0,0.0018455423055082339
Ks7s,7044.0,9.0,1.0,0.0012776831345826234
Ks6s,7044.0,7.0,1.0,9.937535491198182E-4
Ks5s,7044.0,6.0,1.0,8.517887563884157E-4
Ks4s,7044.0,5.0,1.0,7.098239636570131E-4
