Program Duration,952.27519665,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,49365.0,48781.0,1.0,0.9881697558999291
AsQs,49365.0,181.0,1.0,0.0036665653803301937
AsJs,13890.0,82.0,0.28137344272257675,0.0016610959181606402
AsTs,30804.0,48.0,0.6240048617441507,9.723488301428137E-4
As9s,33.0,28.0,6.684898207231845E-4,5.672034842499747E-4
As8s,24.0,21.0,4.8617441507140685E-4,4.25402613187481E-4
As7s,17.0,16.0,3.443735440089132E-4,3.2411627671427123E-4
As6s,13.0,12.0,2.633444748303454E-4,2.4308720753570342E-4
As5s,43038.0,12.0,0.8718322698268004,2.4308720753570342E-4
As4s,38755.0,10.0,0.7850703940038489,2.0257267294641952E-4
As3s,8997.0,9.0,0.18225463384989365,1.8231540565177758E-4
As2s,8.0,8.0,1.6205813835713562E-4,1.6205813835713562E-4
AsAc,49365.0,49365.0,1.0,1.0
AsKc,49365.0,24997.0,1.0,0.5063709105641649
AsQc,3805.0,121.0,0.07707890205611263,0.0024511293426516764
AsJc,77.0,56.0,0.0015598095816874303,0.0011344069684999494
AsTc,40.0,34.0,8.102906917856781E-4,6.887470880178264E-4
As9c,22.0,19.0,4.4565988048212297E-4,3.8488807859819713E-4
As8c,15.0,14.0,3.0385900941962927E-4,2.8360174212498736E-4
As7c,11.0,10.0,2.2282994024106149E-4,2.0257267294641952E-4
As6c,8.0,7.0,1.6205813835713562E-4,1.4180087106249368E-4
As5c,8.0,7.0,1.6205813835713562E-4,1.4180087106249368E-4
As4c,6.0,6.0,1.2154360376785171E-4,1.2154360376785171E-4
As3c,5.0,5.0,1.0128633647320976E-4,1.0128633647320976E-4
As2c,5.0,4.0,1.0128633647320976E-4,8.102906917856781E-5
AsAd,49365.0,49365.0,1.0,1.0
AsKd,49365.0,24997.0,1.0,0.5063709105641649
AsQd,3805.0,121.0,0.07707890205611263,0.0024511293426516764
AsJd,77.0,56.0,0.0015598095816874303,0.0011344069684999494
AsTd,40.0,34.0,8.102906917856781E-4,6.887470880178264E-4
As9d,22.0,19.0,4.4565988048212297E-4,3.8488807859819713E-4
As8d,15.0,14.0,3.0385900941962927E-4,2.8360174212498736E-4
As7d,11.0,10.0,2.2282994024106149E-4,2.0257267294641952E-4
As6d,8.0,7.0,1.6205813835713562E-4,1.4180087106249368E-4
As5d,8.0,7.0,1.6205813835713562E-4,1.4180087106249368E-4
As4d,6.0,6.0,1.2154360376785171E-4,1.2154360376785171E-4
As3d,5.0,5.0,1.0128633647320976E-4,1.0128633647320976E-4
As2d,5.0,4.0,1.0128633647320976E-4,8.102906917856781E-5
AsAh,49365.0,49365.0,1.0,1.0
AsKh,49365.0,24997.0,1.0,0.5063709105641649
AsQh,3805.0,121.0,0.07707890205611263,0.0024511293426516764
AsJh,77.0,56.0,0.0015598095816874303,0.0011344069684999494
AsTh,40.0,34.0,8.102906917856781E-4,6.887470880178264E-4
As9h,22.0,19.0,4.4565988048212297E-4,3.8488807859819713E-4
As8h,15.0,14.0,3.0385900941962927E-4,2.8360174212498736E-4
As7h,11.0,10.0,2.2282994024106149E-4,2.0257267294641952E-4
As6h,8.0,7.0,1.6205813835713562E-4,1.4180087106249368E-4
As5h,8.0,7.0,1.6205813835713562E-4,1.4180087106249368E-4
As4h,6.0,6.0,1.2154360376785171E-4,1.2154360376785171E-4
As3h,5.0,5.0,1.0128633647320976E-4,1.0128633647320976E-4
As2h,5.0,4.0,1.0128633647320976E-4,8.102906917856781E-5
KsQs,242.0,25.0,0.004902258685303353,5.064316823660489E-4
KsJs,18.0,16.0,3.6463081130355516E-4,3.2411627671427123E-4
KsTs,13.0,12.0,2.633444748303454E-4,2.4308720753570342E-4
Ks9s,7.0,7.0,1.4180087106249368E-4,1.4180087106249368E-4
Ks8s,5.0,5.0,1.0128633647320976E-4,1.0128633647320976E-4
Ks7s,5.0,4.0,1.0128633647320976E-4,8.102906917856781E-5
Ks6s,4.0,3.0,8.102906917856781E-5,6.0771801883925856E-5
Ks5s,4.0,3.0,8.102906917856781E-5,6.0771801883925856E-5
Ks4s,3.0,2.0,6.0771801883925856E-5,4.0514534589283904E-5
Ks3s,3.0,2.0,6.0771801883925856E-5,4.0514534589283904E-5
Ks2s,2.0,2.0,4.0514534589283904E-5,4.0514534589283904E-5
KsAc,49365.0,24997.0,1.0,0.5063709105641649
KsKc,49365.0,49365.0,1.0,1.0
KsQc,16.0,14.0,3.2411627671427123E-4,2.8360174212498736E-4
KsJc,10.0,10.0,2.0257267294641952E-4,2.0257267294641952E-4
KsTc,8.0,7.0,1.6205813835713562E-4,1.4180087106249368E-4
Ks9c,5.0,5.0,1.0128633647320976E-4,1.0128633647320976E-4
Ks8c,4.0,3.0,8.102906917856781E-5,6.0771801883925856E-5
Ks7c,3.0,2.0,6.0771801883925856E-5,4.0514534589283904E-5
Ks6c,3.0,2.0,6.0771801883925856E-5,4.0514534589283904E-5
Ks5c,2.0,2.0,4.0514534589283904E-5,4.0514534589283904E-5
Ks4c,2.0,1.0,4.0514534589283904E-5,2.0257267294641952E-5
