Program Duration,806.1769811516667,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,43264.0,43264.0,0.9999768866289148,0.9999768866289148
AsQs,43264.0,43237.0,0.9999768866289148,0.9993528256096151
AsJs,43264.0,63.0,0.9999768866289148,0.0014561423783658847
AsTs,43264.0,34.0,0.9999768866289148,7.858546168958742E-4
As9s,1111.0,19.0,0.02567895527562695,4.3915405061828265E-4
As8s,415.0,14.0,0.0095920490003467,3.2358719519241883E-4
As7s,283.0,11.0,0.006541084017103895,2.542470819369005E-4
As6s,9.0,8.0,2.0802033976655496E-4,1.8490696868138219E-4
As5s,42660.0,8.0,0.9860164104934704,1.8490696868138219E-4
As4s,42300.0,7.0,0.9776955969028083,1.6179359759620942E-4
As3s,41424.0,6.0,0.9574482838321969,1.3868022651103665E-4
As2s,5.0,5.0,1.1556685542586386E-4,1.1556685542586386E-4
AsAc,43264.0,43264.0,0.9999768866289148,0.9999768866289148
AsKc,43264.0,43264.0,0.9999768866289148,0.9999768866289148
AsQc,43264.0,6479.0,0.9999768866289148,0.1497515312608344
AsJc,41771.0,42.0,0.9654686235987519,9.707615855772565E-4
AsTc,40.0,23.0,9.245348434069109E-4,5.316075349589737E-4
As9c,17.0,13.0,3.929273084479371E-4,3.0047382410724604E-4
As8c,10.0,9.0,2.3113371085172773E-4,2.0802033976655496E-4
As7c,7.0,7.0,1.6179359759620942E-4,1.6179359759620942E-4
As6c,4.0,5.0,9.245348434069109E-5,1.1556685542586386E-4
As5c,4.0,5.0,9.245348434069109E-5,1.1556685542586386E-4
As4c,3.0,4.0,6.934011325551832E-5,9.245348434069109E-5
As3c,3.0,3.0,6.934011325551832E-5,6.934011325551832E-5
As2c,2.0,3.0,4.6226742170345546E-5,6.934011325551832E-5
AsAd,43264.0,43264.0,0.9999768866289148,0.9999768866289148
AsKd,43264.0,43264.0,0.9999768866289148,0.9999768866289148
AsQd,43264.0,6479.0,0.9999768866289148,0.1497515312608344
AsJd,41771.0,42.0,0.9654686235987519,9.707615855772565E-4
AsTd,40.0,23.0,9.245348434069109E-4,5.316075349589737E-4
As9d,17.0,13.0,3.929273084479371E-4,3.0047382410724604E-4
As8d,10.0,9.0,2.3113371085172773E-4,2.0802033976655496E-4
As7d,7.0,7.0,1.6179359759620942E-4,1.6179359759620942E-4
As6d,4.0,5.0,9.245348434069109E-5,1.1556685542586386E-4
As5d,4.0,5.0,9.245348434069109E-5,1.1556685542586386E-4
As4d,3.0,4.0,6.934011325551832E-5,9.245348434069109E-5
As3d,3.0,3.0,6.934011325551832E-5,6.934011325551832E-5
As2d,2.0,3.0,4.6226742170345546E-5,6.934011325551832E-5
AsAh,43264.0,43264.0,0.9999768866289148,0.9999768866289148
AsKh,43264.0,43264.0,0.9999768866289148,0.9999768866289148
AsQh,43264.0,6479.0,0.9999768866289148,0.1497515312608344
AsJh,41771.0,42.0,0.9654686235987519,9.707615855772565E-4
AsTh,40.0,23.0,9.245348434069109E-4,5.316075349589737E-4
As9h,17.0,13.0,3.929273084479371E-4,3.0047382410724604E-4
As8h,10.0,9.0,2.3113371085172773E-4,2.0802033976655496E-4
As7h,7.0,7.0,1.6179359759620942E-4,1.6179359759620942E-4
As6h,4.0,5.0,9.245348434069109E-5,1.1556685542586386E-4
As5h,4.0,5.0,9.245348434069109E-5,1.1556685542586386E-4
As4h,3.0,4.0,6.934011325551832E-5,9.245348434069109E-5
As3h,3.0,3.0,6.934011325551832E-5,6.934011325551832E-5
As2h,2.0,3.0,4.6226742170345546E-5,6.934011325551832E-5
KsQs,43194.0,17.0,0.9983589506529528,3.929273084479371E-4
KsJs,43057.0,11.0,0.9951924188142841,2.542470819369005E-4
KsTs,42741.0,9.0,0.9878885935513695,2.0802033976655496E-4
Ks9s,4.0,5.0,9.245348434069109E-5,1.1556685542586386E-4
Ks8s,3.0,4.0,6.934011325551832E-5,9.245348434069109E-5
Ks7s,2.0,3.0,4.6226742170345546E-5,6.934011325551832E-5
Ks6s,2.0,3.0,4.6226742170345546E-5,6.934011325551832E-5
Ks5s,1.0,3.0,2.3113371085172773E-5,6.934011325551832E-5
Ks4s,1.0,2.0,2.3113371085172773E-5,4.6226742170345546E-5
Ks3s,1.0,2.0,2.3113371085172773E-5,4.6226742170345546E-5
Ks2s,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
KsAc,43264.0,43264.0,0.9999768866289148,0.9999768866289148
KsKc,43264.0,43264.0,0.9999768866289148,0.9999768866289148
KsQc,2255.0,10.0,0.0521206517970646,2.3113371085172773E-4
KsJc,6.0,7.0,1.3868022651103665E-4,1.6179359759620942E-4
KsTc,4.0,5.0,9.245348434069109E-5,1.1556685542586386E-4
Ks9c,2.0,3.0,4.6226742170345546E-5,6.934011325551832E-5
Ks8c,2.0,2.0,4.6226742170345546E-5,4.6226742170345546E-5
Ks7c,1.0,2.0,2.3113371085172773E-5,4.6226742170345546E-5
Ks6c,1.0,2.0,2.3113371085172773E-5,4.6226742170345546E-5
Ks5c,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Ks4c,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Ks3c,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Ks2c,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
KsAd,43264.0,43264.0,0.9999768866289148,0.9999768866289148
KsKd,43264.0,43264.0,0.9999768866289148,0.9999768866289148
KsQd,2255.0,10.0,0.0521206517970646,2.3113371085172773E-4
KsJd,6.0,7.0,1.3868022651103665E-4,1.6179359759620942E-4
KsTd,4.0,5.0,9.245348434069109E-5,1.1556685542586386E-4
Ks9d,2.0,3.0,4.6226742170345546E-5,6.934011325551832E-5
Ks8d,2.0,2.0,4.6226742170345546E-5,4.6226742170345546E-5
Ks7d,1.0,2.0,2.3113371085172773E-5,4.6226742170345546E-5
Ks6d,1.0,2.0,2.3113371085172773E-5,4.6226742170345546E-5
Ks5d,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Ks4d,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Ks3d,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Ks2d,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
KsAh,43264.0,43264.0,0.9999768866289148,0.9999768866289148
KsKh,43264.0,43264.0,0.9999768866289148,0.9999768866289148
KsQh,2255.0,10.0,0.0521206517970646,2.3113371085172773E-4
KsJh,6.0,7.0,1.3868022651103665E-4,1.6179359759620942E-4
KsTh,4.0,5.0,9.245348434069109E-5,1.1556685542586386E-4
Ks9h,2.0,3.0,4.6226742170345546E-5,6.934011325551832E-5
Ks8h,2.0,2.0,4.6226742170345546E-5,4.6226742170345546E-5
Ks7h,1.0,2.0,2.3113371085172773E-5,4.6226742170345546E-5
Ks6h,1.0,2.0,2.3113371085172773E-5,4.6226742170345546E-5
Ks5h,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Ks4h,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Ks3h,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Ks2h,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
QsJs,42893.0,7.0,0.9914018259563158,1.6179359759620942E-4
QsTs,40642.0,6.0,0.9393736276435918,1.3868022651103665E-4
Qs9s,2.0,4.0,4.6226742170345546E-5,9.245348434069109E-5
Qs8s,1.0,3.0,2.3113371085172773E-5,6.934011325551832E-5
Qs7s,1.0,2.0,2.3113371085172773E-5,4.6226742170345546E-5
Qs6s,1.0,2.0,2.3113371085172773E-5,4.6226742170345546E-5
Qs5s,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Qs4s,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Qs3s,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Qs2s,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
QsAc,43264.0,6479.0,0.9999768866289148,0.1497515312608344
QsKc,2255.0,10.0,0.0521206517970646,2.3113371085172773E-4
QsQc,43264.0,43264.0,0.9999768866289148,0.9999768866289148
QsJc,2.0,4.0,4.6226742170345546E-5,9.245348434069109E-5
QsTc,2.0,3.0,4.6226742170345546E-5,6.934011325551832E-5
Qs9c,1.0,2.0,2.3113371085172773E-5,4.6226742170345546E-5
Qs8c,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Qs7c,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Qs6c,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Qs5c,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Qs4c,1.0,0.0,2.3113371085172773E-5,0.0
Qs3c,1.0,0.0,2.3113371085172773E-5,0.0
Qs2c,1.0,0.0,2.3113371085172773E-5,0.0
QsAd,43264.0,6479.0,0.9999768866289148,0.1497515312608344
QsKd,2255.0,10.0,0.0521206517970646,2.3113371085172773E-4
QsQd,43264.0,43264.0,0.9999768866289148,0.9999768866289148
QsJd,2.0,4.0,4.6226742170345546E-5,9.245348434069109E-5
QsTd,2.0,3.0,4.6226742170345546E-5,6.934011325551832E-5
Qs9d,1.0,2.0,2.3113371085172773E-5,4.6226742170345546E-5
Qs8d,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Qs7d,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Qs6d,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Qs5d,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Qs4d,1.0,0.0,2.3113371085172773E-5,0.0
Qs3d,1.0,0.0,2.3113371085172773E-5,0.0
Qs2d,1.0,0.0,2.3113371085172773E-5,0.0
QsAh,43264.0,6479.0,0.9999768866289148,0.1497515312608344
QsKh,2255.0,10.0,0.0521206517970646,2.3113371085172773E-4
QsQh,43264.0,43264.0,0.9999768866289148,0.9999768866289148
QsJh,2.0,4.0,4.6226742170345546E-5,9.245348434069109E-5
QsTh,2.0,3.0,4.6226742170345546E-5,6.934011325551832E-5
Qs9h,1.0,2.0,2.3113371085172773E-5,4.6226742170345546E-5
Qs8h,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Qs7h,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Qs6h,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Qs5h,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Qs4h,1.0,0.0,2.3113371085172773E-5,0.0
Qs3h,1.0,0.0,2.3113371085172773E-5,0.0
Qs2h,1.0,0.0,2.3113371085172773E-5,0.0
JsTs,1.0,5.0,2.3113371085172773E-5,1.1556685542586386E-4
Js9s,1.0,3.0,2.3113371085172773E-5,6.934011325551832E-5
Js8s,1.0,2.0,2.3113371085172773E-5,4.6226742170345546E-5
Js7s,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Js6s,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Js5s,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Js4s,1.0,0.0,2.3113371085172773E-5,0.0
Js3s,1.0,0.0,2.3113371085172773E-5,0.0
Js2s,1.0,0.0,2.3113371085172773E-5,0.0
JsAc,41771.0,42.0,0.9654686235987519,9.707615855772565E-4
JsKc,6.0,7.0,1.3868022651103665E-4,1.6179359759620942E-4
JsQc,2.0,4.0,4.6226742170345546E-5,9.245348434069109E-5
JsJc,43264.0,43264.0,0.9999768866289148,0.9999768866289148
JsTc,1.0,2.0,2.3113371085172773E-5,4.6226742170345546E-5
Js9c,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
Js8c,1.0,1.0,2.3113371085172773E-5,2.3113371085172773E-5
