Program Duration,550.613772165,mins

Hand,P1 - F,P2 - F,P1 - S,P2 - S
AsKs,51543.0,51543.0,1.0,1.0
AsQs,51543.0,51543.0,1.0,1.0
AsJs,51543.0,114.0,1.0,0.002211745532856062
AsTs,51543.0,61.0,1.0,0.0011834778728440332
As9s,1882.0,34.0,0.036513202568729024,6.596434045360185E-4
As8s,509.0,24.0,0.009875249791436277,4.6563063849601303E-4
As7s,299.0,18.0,0.005800981704596163,3.4922297887200976E-4
As6s,18.0,13.0,3.4922297887200976E-4,2.5221659585200704E-4
As5s,50435.0,13.0,0.9785033855227674,2.5221659585200704E-4
As4s,49867.0,11.0,0.9674834604116951,2.13414042644006E-4
As3s,48224.0,9.0,0.9356071629513222,1.7461148943600488E-4
As2s,10.0,8.0,1.9401276604000543E-4,1.5521021283200435E-4
AsAc,51543.0,51543.0,1.0,1.0
AsKc,51543.0,51543.0,1.0,1.0
AsQc,51543.0,8098.0,1.0,0.1571115379391964
AsJc,49891.0,75.0,0.9679490910501911,0.0014550957453000406
AsTc,71.0,41.0,0.0013774906388840386,7.954523407640222E-4
As9c,31.0,23.0,6.014395747240168E-4,4.462293618920125E-4
As8c,20.0,15.0,3.8802553208001087E-4,2.9101914906000815E-4
As7c,14.0,11.0,2.716178724560076E-4,2.13414042644006E-4
As6c,10.0,8.0,1.9401276604000543E-4,1.5521021283200435E-4
As5c,9.0,8.0,1.7461148943600488E-4,1.5521021283200435E-4
As4c,7.0,6.0,1.358089362280038E-4,1.1640765962400326E-4
As3c,6.0,5.0,1.1640765962400326E-4,9.700638302000272E-5
As2c,5.0,4.0,9.700638302000272E-5,7.760510641600218E-5
AsAd,51543.0,51543.0,1.0,1.0
AsKd,51543.0,51543.0,1.0,1.0
AsQd,51543.0,8098.0,1.0,0.1571115379391964
AsJd,49891.0,75.0,0.9679490910501911,0.0014550957453000406
AsTd,71.0,41.0,0.0013774906388840386,7.954523407640222E-4
As9d,31.0,23.0,6.014395747240168E-4,4.462293618920125E-4
As8d,20.0,15.0,3.8802553208001087E-4,2.9101914906000815E-4
As7d,14.0,11.0,2.716178724560076E-4,2.13414042644006E-4
As6d,10.0,8.0,1.9401276604000543E-4,1.5521021283200435E-4
As5d,9.0,8.0,1.7461148943600488E-4,1.5521021283200435E-4
As4d,7.0,6.0,1.358089362280038E-4,1.1640765962400326E-4
As3d,6.0,5.0,1.1640765962400326E-4,9.700638302000272E-5
As2d,5.0,4.0,9.700638302000272E-5,7.760510641600218E-5
AsAh,51543.0,51543.0,1.0,1.0
AsKh,51543.0,51543.0,1.0,1.0
AsQh,51543.0,8098.0,1.0,0.1571115379391964
AsJh,49891.0,75.0,0.9679490910501911,0.0014550957453000406
AsTh,71.0,41.0,0.0013774906388840386,7.954523407640222E-4
As9h,31.0,23.0,6.014395747240168E-4,4.462293618920125E-4
As8h,20.0,15.0,3.8802553208001087E-4,2.9101914906000815E-4
As7h,14.0,11.0,2.716178724560076E-4,2.13414042644006E-4
As6h,10.0,8.0,1.9401276604000543E-4,1.5521021283200435E-4
As5h,9.0,8.0,1.7461148943600488E-4,1.5521021283200435E-4
As4h,7.0,6.0,1.358089362280038E-4,1.1640765962400326E-4
As3h,6.0,5.0,1.1640765962400326E-4,9.700638302000272E-5
As2h,5.0,4.0,9.700638302000272E-5,7.760510641600218E-5
KsQs,51506.0,28.0,0.999282152765652,5.432357449120152E-4
KsJs,51197.0,18.0,0.9932871582950158,3.4922297887200976E-4
KsTs,50650.0,13.0,0.9826746599926275,2.5221659585200704E-4
Ks9s,9.0,8.0,1.7461148943600488E-4,1.5521021283200435E-4
Ks8s,6.0,5.0,1.1640765962400326E-4,9.700638302000272E-5
